Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Date
WANBURY,WANBURY LTD,3312281428,106.5,4.97782159,23.47826087,179217,19086610.5,92.60271552,87.70002482,83.33608091,3869250000,Health Technology,256528000,27.6009,3743120000,7-Feb-22
KCPSUGIND,KCP SUGAR & INDUST,3197458438,29.95,5.83038869,7.92792793,2664854,79812377.3,28.43594074,28.14594962,26.55588263,3285504358,Process Industries,72611000,210.416,3250430000,7-Feb-22
KOTARISUG,KOTHARI SUGAR&CHEM,3141477321,39.85,5.14511873,4.73061761,1151955,45905406.75,38.65213264,38.18783553,36.36005204,4197377000,Process Industries,282080000,6.22519,,7-Feb-22
ABAN,ABAN OFFSHORE,3017487395,55.5,7.03953713,16.35220126,894233,49629931.5,50.50586702,49.82151657,49.68898072,10694690000,Industrial Services,-5129380000,,1935620000,7-Feb-22
CINELINE,CINELINE INDIA LTD,3009790230,109.1,9.81378963,13.76433785,403033,43970900.3,98.21884746,96.09785074,96.04989028,285714000,Finance,74622000,26.3481,6046920000,7-Feb-22
KMSUGAR,KM SUGAR MILLS LTD,2967005659,34.25,6.0371517,7.03125,2177953,74594890.25,32.58984068,32.05807549,30.07461079,5027315000,Process Industries,727300000,4.75887,2430400000,7-Feb-22
VISESHINFO,VISESH INFOTECNICS,2604361192,1.55,3.33333333,-8.82352941,154998990,240248434.5,1.52838232,1.37250392,0.96485809,4147818,Technology Services,,,,7-Feb-22
ANSALAPI,ANSAL PROPS & INFR,2573527133,17.05,3.96341463,13.66666667,1591825,27140616.25,15.62156222,14.91102311,13.70486352,8407505000,Finance,,,3158120000,7-Feb-22
ALANKIT,ALANKIT LTD,2480323079,18.4,6.0518732,5.74712644,1442297,26538264.8,17.49708493,17.46119124,17.05044079,1150110000,Technology Services,161772000,13.4344,2190300000,7-Feb-22
GODHA,GODHA CABCON INSULAT LTD,2253000000,103.7,3.85578368,26.15571776,107731,11171704.7,90.73226285,86.68656199,77.66073706,323964000,Producer Manufacturing,,,,7-Feb-22
GANGAFORGE,GANGA FORGING LTD,2251743689,22.35,5.17647059,11.75,3521213,78699110.55,20.89895509,20.57978844,21.66003781,229810118,Producer Manufacturing,,32.1578,1679170000,7-Feb-22
EROSMEDIA,EROS INTL MEDIA,2238911808,25.6,9.87124464,33.33333333,3811039,97562598.4,21.61982987,20.58630151,19.79975452,2619700000,Consumer Services,-1989000000,10.0777,7036920000,7-Feb-22
DAMODARIND,DAMODAR INDUSTRIES,1629834876,75.55,7.92857143,7.92857143,351728,26573050.4,68.54474863,65.85690138,59.5825377,5676397053,Process Industries,687917000,9.65396,3905100000,7-Feb-22
MAANALU,MAAN ALUMINIUM LTD,1611052840,143.1,19.94970662,26.35761589,662510,94805181,122.0183486,119.9536994,120.6247355,4028760569,Producer Manufacturing,308900000,6.65265,2289710000,7-Feb-22
SRPL,SHREE RAM PROTEINS LTD.,1318400988,64.6,4.95532088,27.29064039,1226103,79206253.8,56.02383718,52.38520397,46.59342658,1525585000,Distribution Services,140168000,17.916,,7-Feb-22
IMAGICAA,IMAGICAAWORLD ENT LTD,1128075775,13.95,9.84251969,25.67567568,1907728,26612805.6,12.05626098,11.72030601,11.43198256,219579000,Consumer Services,-336206000,,11681600000,7-Feb-22
AUSOMENT,AUSOM ENTERPRISE,1117812431,89,8.80195599,19.7846568,329557,29330573,77.84786529,75.79338513,72.5053578,4734873157,Finance,110285000,5.60743,,7-Feb-22
INDBANK,INDBANK MERCH BANK,1098360463,29.55,19.39393939,21.35523614,3745677,110684755.4,25.32767821,24.63463667,23.77972646,149665789,Finance,118318000,3.83618,,7-Feb-22
