Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
NUVOCO,NUVOCO VISTAS CORP LTD,1.14594E+11,346.6,8.00872546,-1.99349639,1011789,350686067.4,353.6501834,384.9446145,436.5509926,,73642400000,Non-Energy Minerals,15615170000,,,28-Feb-22
ISFT,INTRASOFT TECHNOLO,2936023472,211.1,7.73156417,-1.74540377,52088,10995776.8,207.9992269,211.2189983,209.3508738,161.889379,6131338000,Retail Trade,134495000,14.0664,3497370000,28-Feb-22
GAYAPROJ,GAYATRI PROJECTS,4249410285,24.45,7.7092511,-2.2,1432912,35034698.4,24.14977581,25.21003405,27.95174089,34.38459014,39005189000,Industrial Services,-499064000,5.38287,,28-Feb-22
BIRLACABLE,BIRLA CABLE LTD,4084499817,146.5,7.60190966,23.31649832,3128831,458373741.5,128.0236218,121.5321248,110.2727927,92.97184072,3256412000,Producer Manufacturing,378324000,10.7048,,28-Feb-22
AMBER,AMBER ENTERPRISES,1.09004E+11,3481.8,7.42151948,6.54874839,188983,658001009.4,3332.905303,3373.312617,3387.117494,3182.89864,30274458000,Consumer Durables,2912783000,47.5348,,28-Feb-22
SKFINDIA,SKF INDIA,1.66346E+11,3585.25,7.02079073,4.85639916,53168,190620572,3447.157667,3519.542126,3626.079149,3242.988893,26707300000,Producer Manufacturing,5449400000,24.3108,,28-Feb-22
EXCELINDUS,EXCEL INDUSTRIES,15433038031,1319,6.92716144,8.4882382,238167,314142273,1200.425794,1130.892855,1033.855365,989.8184666,7465678000,Process Industries,2023006000,8.03819,,28-Feb-22
MCLEODRUSS,MCLEOD RUSSEL INDI,2412927501,24.8,6.89655172,4.86257928,1117257,27707973.6,24.27146885,25.40086527,26.81631667,27.09912383,14050384000,Consumer Non-Durables,796600000,14.9866,,28-Feb-22
PASUPTAC,PASUPATI ACRYLON LTD,3382601884,40.45,6.86922061,4.92866407,278363,11259783.35,39.2162407,40.94075028,41.6209761,,5031461000,Process Industries,988200000,0.469226,,28-Feb-22
CENTENKA,CENTURY ENKA,10537445988,517.55,6.7994222,1.8598701,150372,77825028.6,509.7070147,522.33144,508.3003095,431.9766757,12208200000,Process Industries,2628800000,1.79996,,28-Feb-22
MANYAVAR,VEDANT FASHIONS LTD,2.03099E+11,892.2,6.74802584,1.37484377,497233,443631282.6,,,,,5642060000,Consumer Non-Durables,,,,28-Feb-22
GANESHBE,GANESH BENZOPLAST LTD,5621701878,96.15,6.71476138,6.00882029,652965,62782584.75,93.13935899,95.29128083,96.68442319,,2702710000,Process Industries,624930000,4.65876,,28-Feb-22
KOTHARIPET,KOTHARI PETROCHEM,4778327289,86.5,6.5270936,1.94460813,187534,16221691,85.25421037,87.93733342,83.68412196,60.83885307,2280340000,Process Industries,482039000,3.79386,,28-Feb-22
ALEMBICLTD,ALEMBIC LTD,21389927209,89.1,6.4516129,0.90600227,1908352,170034163.2,87.49762148,91.44102394,97.31752297,105.03169,734739000,Health Technology,144500000,231.622,,28-Feb-22
TATASTLLP,TATA STEEL LONG PRO LTD,30020815085,707.8,6.372107,-0.2185099,91985,65106983,694.6297636,711.44009,740.6454007,791.4635625,47363200000,Non-Energy Minerals,15110300000,3.95127,,28-Feb-22
SALONA,SALONA COTSPIN,1233428543,247.1,6.37107189,13.50482315,56458,13950771.8,243.872533,259.4635827,260.9719336,207.5654118,2249062953,Process Industries,351380000,11.9892,,28-Feb-22
DALMIASUG,DALMIA BHARAT SUGA,30178221544,395.5,6.36009143,-0.42799597,86275,34121762.5,394.8751814,406.7665246,413.1830111,379.3597068,24959700000,Non-Energy Minerals,4432300000,6.98348,,28-Feb-22
KIOCL,KIOCL LTD,1.24923E+11,218.1,6.33837153,3.80771061,177925,38805442.5,220.4951254,229.2607136,241.1778873,237.5274866,23623545000,Non-Energy Minerals,4014400000,20.9964,,28-Feb-22
JSWISPL,JSW ISPAT SPE PRO LTD,14485541985,32.8,6.32090762,1.70542636,3852693,126368330.4,32.47330834,33.85245696,34.75466336,34.39422087,41766500000,Non-Energy Minerals,5596000000,14.2539,,28-Feb-22
VRLLOG,VRL LOGISTICS LTD,38974181294,458,6.1782775,-1.37812231,273208,125129264,457.2209937,467.4064916,465.6607401,390.3265738,17629224000,Transportation,3740242000,9.73009,,28-Feb-22
CRISIL,CRISIL LTD,1.97681E+11,2878.15,6.08735717,3.33913793,45675,131459501.3,2767.336217,2782.141064,2838.659513,2707.016438,23006900000,Technology Services,6159600000,,,28-Feb-22
ANDHRSUGAR,ANDHRA SUGARS,18432812378,144.4,6.020558,7.72099963,1025236,148044078.4,140.0045362,143.3211073,141.1452594,119.5814877,15059320000,Process Industries,2291229000,3.8279,,28-Feb-22
BORORENEW,BOROSIL RENEWABLES LTD,71478283574,581.3,6.01860295,-0.22313766,544828,316708516.4,577.4812257,599.0594225,604.9356051,466.660487,5022723000,Process Industries,2890336000,13.7016,,28-Feb-22
DOLLAR,DOLLAR INDUSTRIES,29662531635,554.25,5.9751434,7.82025095,154485,85623311.25,535.1624869,548.3453293,536.6219158,429.2244704,10369557000,Consumer Non-Durables,1955302000,10.1847,,28-Feb-22
ZUARIGLOB,ZUARI GLOBAL LTD,4688416069,171,5.94795539,5.68603214,255552,43699392,163.3756941,162.2116348,155.6665063,133.9719121,8020469000,Process Industries,255885000,76.5285,,28-Feb-22
