Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
ADC India,523411,,Telecommunications - Equipment,893.60,57.51,411.06,0.00,27.06,39.75,0.45,1.84,48.10,9.41,0.61,10.02,0.05,0.00,9.97,2.51,0.00,7.45,25.55,19.56,44.24,-0.38,0.32,-0.06,0.05,0.00,-0.11,-0.02,-0.09,0.00,-0.09,-0.86,36.73,3.55,0.39,3.94,0.05,0.00,3.89,1.03,2.86,0.00,2.86,9.67,142.91,10.25,1.10,11.35,0.21,0.09,11.05,2.87,8.17,0.00,8.17
Add-Shop E-Reta.,541865,,Trading,31.46,114.50,89.08,11.82,4.19,6.02,0.00,0.00,40.37,3.51,0.00,3.51,0.13,0.24,3.14,0.79,0.00,2.35,20.29,8.69,47.32,7.41,0.00,7.41,0.13,0.23,7.05,1.77,5.27,0.00,5.27,15.66,50.62,8.20,0.00,8.20,0.14,0.22,7.84,1.78,6.05,0.00,6.05,16.20,197.33,29.18,-0.15,29.18,0.54,1.00,27.49,8.32,19.27,-0.15,19.16
Addi Industries,507852,,Textiles - Products,50.91,75.72,54.96,0.08,-2.08,18.70,2.46,0.00,0.00,-0.21,1.38,1.17,0.03,0.00,1.14,0.29,0.00,0.85,,,0.00,-0.19,1.24,1.05,0.03,0.00,1.02,0.22,0.80,0.00,0.80,,0.00,-0.23,0.59,0.79,0.02,0.00,0.34,0.07,0.62,-0.43,0.27,,0.00,-0.88,22.35,3.17,0.14,0.01,21.32,4.28,2.37,18.30,17.04
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,202.45,439.74,2224.19,6.78,20.21,34.61,0.49,11.18,124.62,21.77,3.05,24.82,3.69,0.57,20.56,5.64,0.00,14.93,50.61,17.47,112.42,21.93,2.45,24.38,3.58,0.51,20.29,5.55,14.73,0.00,14.73,19.51,106.74,18.02,3.88,21.90,3.34,0.70,17.86,4.26,13.58,0.00,13.60,16.88,450.28,80.84,11.01,88.64,13.74,2.65,75.46,19.60,53.57,3.21,55.86
Adhbhut Infra.,539189,,Construction,60.10,-6.23,66.11,2.74,26.40,77.78,0.00,0.00,0.60,0.55,0.00,0.55,0.26,0.06,0.23,0.06,0.00,0.17,100.00,91.67,1.32,1.11,0.01,1.12,0.26,0.06,0.80,0.19,0.61,0.00,0.61,84.09,0.27,0.12,0.13,0.25,0.17,0.06,0.02,0.00,0.01,0.00,0.01,44.44,2.12,1.04,-11.57,2.03,0.70,0.23,-11.46,0.21,1.11,-12.56,-11.67
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,108.95,130.93,615.12,1111.42,8.51,16.42,0.00,0.00,96.37,38.89,1.19,40.08,2.13,21.14,16.81,4.89,0.00,11.92,100.00,40.35,78.45,32.47,0.97,33.44,1.85,18.54,13.05,3.61,9.44,0.00,9.44,41.39,68.20,23.36,2.60,25.96,1.65,10.65,13.66,3.95,9.71,0.00,9.71,34.25,266.76,92.10,11.92,104.13,6.66,50.69,46.67,12.78,33.98,-0.11,33.90
Aditya AMC,543374,ABSLAMC,Finance & Investments,469.15,2740.02,13511.13,78.13,14.72,20.33,2.18,295.20,334.99,191.92,55.70,247.62,9.15,1.68,236.79,58.70,0.00,178.09,100.00,57.29,311.16,169.95,77.75,247.70,6.61,0.79,240.30,55.73,184.57,0.00,184.57,54.62,311.09,182.27,76.58,258.85,8.44,0.99,249.42,57.73,191.69,0.00,191.69,58.59,1349.13,827.71,4.58,832.15,34.33,4.10,793.86,197.48,596.27,0.14,596.38
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,231.00,2939.34,21930.00,10174.77,22.44,,0.00,0.00,3226.44,322.87,45.74,368.61,388.80,208.36,-228.55,-28.21,0.00,-200.34,53.39,10.01,3196.06,292.33,60.66,352.99,366.98,187.31,-201.30,-39.68,-141.43,0.00,-161.62,9.15,3074.61,396.02,22.01,418.03,290.66,103.58,23.79,-5.63,29.42,0.00,29.42,12.88,12417.90,1557.40,123.17,1637.69,1226.96,536.05,-82.44,-22.97,-61.96,42.88,-59.47
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,164.75,24765.76,42840.72,99189.74,13.86,16.00,0.00,0.00,7720.55,2821.92,62.01,2883.93,47.95,1827.05,1008.93,284.15,0.00,724.78,100.00,36.55,7044.97,2555.10,70.23,2625.33,42.80,1671.01,911.52,245.82,648.76,0.00,665.70,36.27,6825.01,1679.68,105.19,1784.87,34.66,1059.81,690.40,211.03,479.37,0.00,479.37,24.61,30163.15,10191.31,310.75,10501.87,144.83,4722.00,5635.23,811.16,4795.61,0.19,4824.07
Aditya Consumer,540146,,Trading,68.78,27.77,100.66,7.99,21.18,91.51,0.00,0.00,46.35,0.97,-0.05,2.91,1.27,0.40,1.24,0.30,0.00,0.16,30.19,6.44,45.97,2.96,,,,,,,,,0.94,,50.89,0.81,0.12,3.82,0.99,0.43,2.40,0.08,2.32,0.00,0.28,8.15,96.86,3.78,0.84,4.07,2.27,0.77,1.58,0.35,0.83,0.55,1.22
Aditya Vision,540205,,Trading,3561.30,178.32,4283.71,400.58,29.70,58.40,0.21,9.02,313.13,23.06,2.47,25.53,6.77,6.44,12.32,2.69,0.00,9.63,14.92,7.36,641.23,63.30,1.37,64.67,6.31,9.03,49.33,11.91,37.42,0.00,37.42,9.87,259.60,23.09,0.54,23.63,4.67,4.54,14.42,3.07,11.35,0.00,11.35,8.89,1322.23,132.99,2.93,135.84,20.42,29.51,85.99,21.85,64.08,0.08,64.14
Ador Fontech,530431,,Electrodes - Welding Equipment,144.30,144.22,505.06,0.00,12.53,19.58,3.47,17.50,52.63,8.66,1.12,9.78,0.73,0.00,9.05,2.36,0.00,6.69,45.39,16.45,48.57,7.28,1.46,8.74,0.70,0.00,8.04,2.02,6.02,0.00,6.02,14.99,50.53,7.05,1.11,8.16,0.90,0.00,7.26,2.44,4.82,0.00,4.82,13.95,207.78,31.48,4.21,35.43,3.12,0.00,32.57,9.54,22.85,0.26,23.03
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1492.00,329.85,2031.26,33.15,19.02,29.27,1.17,23.80,225.96,27.30,3.11,30.41,3.34,0.89,26.18,6.60,0.00,19.58,33.67,12.08,189.63,16.07,3.02,19.09,3.34,0.71,15.04,3.80,11.24,0.00,11.24,8.47,184.87,15.14,1.55,16.69,2.85,0.50,13.34,3.36,9.98,0.00,9.98,8.19,776.76,88.65,5.87,95.21,11.61,3.80,79.11,19.82,59.79,-0.69,59.29
Advait Infratech,543230,,Construction,633.50,58.40,646.17,23.27,26.91,49.86,0.00,0.00,75.22,11.51,0.34,8.43,0.41,1.37,6.65,1.66,0.00,6.38,40.54,16.86,64.45,11.54,0.20,3.61,0.37,1.12,2.12,0.66,1.46,0.00,6.53,12.52,37.07,6.44,0.36,4.41,0.65,0.59,3.17,0.74,2.44,0.00,3.75,14.50,101.51,17.42,1.47,18.96,2.87,2.49,13.53,3.53,10.05,-0.07,10.00
Advance Meter.,534612,,Electric Equipment,53.40,101.74,85.76,11.56,171.17,,0.00,0.00,5.39,0.70,1.21,1.91,1.18,0.22,0.51,0.00,0.00,0.51,74.95,12.99,4.78,-0.17,1.41,1.24,1.15,0.20,-0.11,0.00,-0.11,0.00,-0.11,-3.56,4.86,0.13,-0.47,0.84,1.13,0.47,-1.94,0.00,-0.76,-1.18,-1.94,2.67,18.43,-9.02,20.78,-0.29,4.85,1.39,5.52,0.01,-6.53,12.05,5.50
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,374.80,1248.29,4194.53,38.86,19.24,33.25,1.07,11.18,157.84,51.30,6.10,57.40,8.73,0.75,47.92,12.73,0.00,35.20,76.55,32.50,147.28,44.02,6.67,50.69,8.63,0.65,41.41,12.03,28.81,0.00,29.38,29.89,138.69,39.68,3.87,43.55,8.81,0.60,34.14,7.88,26.21,0.00,26.26,28.61,540.64,158.35,20.55,183.71,35.03,3.48,140.39,36.52,107.21,-4.81,103.87
Advani Hotels.,523269,ADVANIHOTR,Hotels,106.30,61.22,491.31,0.80,13.65,19.86,4.52,15.71,17.25,0.37,0.68,1.05,0.82,0.03,0.20,-0.25,0.00,0.45,83.25,2.14,23.32,6.42,0.62,7.04,0.79,0.03,6.22,1.61,4.61,0.00,4.61,27.53,16.33,3.44,0.42,3.86,0.64,0.05,3.17,0.99,2.18,0.00,2.18,21.07,98.64,39.16,1.99,40.98,2.63,0.16,38.36,9.76,28.47,0.17,28.60
Advik Capital,539773,,Finance & Investments,2.17,64.26,92.91,104.68,11.89,10.20,0.00,0.00,157.43,2.99,5.54,8.53,0.06,1.84,6.63,0.50,0.00,6.13,2.41,1.90,152.70,2.50,0.16,2.66,0.04,1.60,1.02,0.32,0.64,0.00,0.70,1.64,228.30,9.17,0.00,9.17,0.14,0.84,8.19,2.13,6.07,0.00,6.07,4.02,604.29,15.96,0.08,16.04,0.24,2.97,12.83,3.48,9.35,0.00,9.35
Aegis Logistics,500003,AEGISCHEM,Trading,377.40,3645.49,13237.77,2358.98,14.03,26.01,1.52,201.82,1234.86,208.31,44.41,252.72,34.14,26.56,192.02,42.01,0.00,150.01,24.14,16.87,2100.53,195.86,37.39,233.25,33.28,29.79,170.18,37.49,115.81,0.00,132.69,9.32,2150.52,168.63,17.99,186.62,33.36,25.41,127.85,26.79,93.39,0.00,101.06,7.84,8627.21,671.99,186.79,846.64,125.80,88.23,644.75,134.06,454.47,12.14,510.69
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,150.45,274.13,1946.92,0.20,34.11,59.98,0.00,2.29,84.06,17.66,0.20,18.02,1.52,1.09,15.25,3.69,-0.16,11.56,37.35,21.01,82.91,15.88,1.15,16.87,1.42,0.92,14.69,3.62,10.95,0.16,11.07,19.15,68.12,12.13,0.00,12.13,1.17,1.06,9.90,2.40,7.50,0.00,7.50,17.81,269.38,54.37,-3.04,54.40,5.22,4.88,41.23,11.07,32.46,-3.07,30.16
Aerpace Indus,534733,,Trading,5.11,2.90,69.84,2.47,-212.56,,0.00,0.00,0.30,-0.17,0.07,-0.10,0.08,0.03,-0.21,0.04,0.00,-0.25,100.00,-56.67,0.29,-0.42,0.07,-0.35,0.07,0.03,-0.45,-0.03,-0.42,0.00,-0.42,-144.83,0.00,-0.72,0.82,0.10,0.07,0.03,0.00,0.00,0.00,0.00,0.00,,0.00,-1.53,2.04,0.51,0.26,0.11,0.14,0.01,0.13,0.00,0.13
Aether Industri.,543534,AETHER,Chemicals,924.00,2046.04,12267.88,17.05,55.13,87.25,0.00,0.00,164.17,45.98,15.18,61.16,9.67,1.64,49.85,12.05,0.00,37.80,53.72,28.01,161.11,44.73,2.64,47.37,9.23,1.17,36.97,6.78,30.20,0.00,30.20,27.76,140.15,36.87,6.42,43.29,5.44,0.61,37.24,10.04,27.20,0.00,27.20,26.31,651.07,186.24,16.57,201.96,23.25,5.09,174.47,44.06,129.78,0.85,130.42
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1254.20,1593.30,17607.11,228.15,47.06,66.62,0.00,0.00,431.30,87.23,9.93,97.16,18.44,5.52,73.20,6.41,0.00,66.78,100.00,20.22,406.58,78.11,9.83,87.94,14.42,3.45,70.07,3.90,66.17,0.00,66.17,19.21,354.59,70.77,12.83,83.60,13.04,2.90,67.66,8.69,58.68,0.00,58.98,19.96,1433.96,288.07,54.31,342.39,49.42,11.41,281.55,36.08,244.60,-0.01,245.47
Affordable Robo.,541402,,Engineering,544.65,52.67,554.43,42.78,58.90,141.08,0.00,0.00,42.81,-4.69,,,,,,,,-6.79,,,95.65,14.48,,,,,,,,,10.72,,18.13,-6.83,,,,,,,,,-8.56,,112.44,8.44,0.22,8.66,1.41,3.54,3.71,1.55,2.16,0.00,2.16
Agarwal Indl.,531921,AGARIND,Petrochemicals,945.30,444.58,1416.30,206.88,10.43,14.59,0.26,3.74,231.91,26.84,1.85,28.69,6.82,3.70,18.17,2.16,0.00,16.01,31.77,11.57,628.76,41.50,0.62,42.12,6.25,3.83,32.04,4.46,27.57,0.00,27.57,6.60,222.60,21.22,4.35,25.57,5.57,2.47,17.53,2.24,15.28,0.00,15.28,9.53,2015.01,135.64,9.07,143.11,22.69,12.26,109.76,17.51,90.92,1.60,92.26
AGI Greenpac,500187,AGI,Packaging,861.60,1693.84,5566.66,801.57,10.43,20.72,0.58,32.35,615.28,134.16,4.66,138.82,41.08,23.29,74.45,18.31,0.00,56.14,51.11,21.80,558.47,131.56,8.47,140.03,36.78,17.93,85.32,21.83,63.49,0.00,63.49,23.56,512.31,84.89,2.37,87.25,29.66,10.64,46.96,13.00,33.95,0.01,33.96,16.57,2281.48,461.61,38.75,487.48,126.26,57.06,317.04,55.40,261.62,12.88,261.64
AGI Infra,539042,,Construction,812.90,199.52,993.10,76.40,13.41,18.61,0.12,1.22,70.91,20.29,1.54,21.83,2.90,1.34,17.59,3.10,0.00,14.49,46.02,28.61,68.81,17.41,1.45,18.86,1.52,1.17,16.17,2.83,13.34,0.00,13.34,25.30,58.21,15.17,1.04,16.21,1.12,1.08,14.01,2.45,11.55,0.00,11.55,26.06,239.99,58.54,6.41,64.72,5.86,5.14,53.95,5.85,47.92,0.23,48.11
Agni Green,,AGNI,Electric Equipment,27.00,30.57,52.75,9.60,14.07,19.91,0.00,0.00,14.26,0.94,,,,,,,,0.12,,,17.36,2.89,,,,,,,,,2.53,,4.66,-2.98,,,,,,,,,-3.94,,22.02,-0.26,0.56,0.30,0.22,1.50,-1.42,0.00,-1.41,0.00,-1.41
Agri-Tech India,537292,AGRITECH,Miscellaneous,201.40,91.36,119.44,0.73,-207.00,,0.00,0.00,0.05,-0.15,0.30,0.15,0.00,0.00,0.15,0.00,0.00,0.14,20.00,-300.00,0.10,-0.29,0.00,-0.29,0.00,0.00,-0.29,0.00,-0.30,0.00,-0.30,-290.00,0.01,-0.19,0.36,0.17,0.00,0.00,0.17,0.00,0.16,0.00,0.16,-1900.00,0.23,-0.70,0.38,-0.32,0.02,0.01,-0.35,0.04,-0.39,0.00,-0.39
Agro Phos India,,AGROPHOS,Fertilizers,41.00,55.45,83.13,28.76,10.10,18.51,0.00,0.00,39.15,7.29,0.10,7.39,0.41,0.75,6.23,1.84,0.00,4.39,42.86,18.62,44.98,-0.76,0.18,-0.58,0.41,0.74,-1.73,-0.58,-1.15,0.00,-1.15,-1.69,40.73,3.08,0.05,3.13,0.39,0.51,2.23,0.89,1.34,0.00,1.34,7.56,131.02,10.51,0.29,10.85,1.56,2.13,7.11,2.10,5.03,-0.05,5.00
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,866.45,488.74,2117.11,23.93,42.74,115.94,0.35,7.31,201.11,8.59,0.05,8.64,5.34,0.78,2.52,0.65,0.00,1.87,39.15,4.27,187.34,11.44,1.17,12.61,5.23,1.20,6.18,1.64,4.54,0.00,4.54,6.11,236.50,10.49,0.04,10.53,5.56,0.89,4.08,1.07,3.01,0.00,3.01,4.44,849.71,45.86,-0.33,46.03,21.91,3.24,20.38,5.30,15.45,-0.50,15.08
AGS Transact,543451,AGSTRA,Computers - Hardware,91.10,477.87,1113.84,1236.62,7.29,,0.00,0.00,376.54,7.43,12.09,19.52,54.00,36.72,-71.20,-10.29,0.00,-60.90,89.79,1.97,371.17,83.24,8.20,91.44,53.73,36.71,1.00,0.36,0.64,0.00,0.64,22.43,413.62,108.80,6.96,115.76,58.16,34.49,23.11,2.43,20.67,0.00,20.67,26.30,1671.27,398.30,33.58,434.49,230.65,143.70,57.53,20.57,38.62,-2.61,36.96
Ahasolar Technol,543941,,Trading,313.55,14.09,96.65,0.00,50.28,60.40,0.00,0.00,12.89,-0.77,,,,,,,,-0.77,,,,,,,,,,,,,,,9.85,0.28,,,,,,,,,0.16,,20.87,1.79,0.01,1.80,0.21,0.00,1.59,-0.01,1.60,0.00,1.60
Ahlada Engineers,,AHLADA,Steel - Medium / Small,111.60,128.29,144.20,47.36,6.48,17.91,1.25,1.81,71.78,8.31,0.09,8.40,2.96,1.30,4.14,1.40,0.00,2.74,27.61,11.58,38.18,5.90,0.09,5.99,2.88,0.93,2.18,0.49,1.70,0.00,1.70,15.45,43.29,5.46,0.06,5.52,3.25,1.01,1.26,0.43,0.83,0.00,0.83,12.61,158.19,25.29,0.21,25.50,13.02,3.74,8.74,3.64,5.09,0.00,5.09
Ahluwalia Contr.,532811,AHLUCONT,Construction,819.90,1331.20,5486.96,88.21,13.13,24.73,0.05,2.68,901.55,89.55,8.46,98.01,12.57,11.48,73.96,18.89,0.00,55.07,53.26,9.93,763.61,82.64,6.82,89.46,11.78,10.85,66.83,17.12,49.71,0.00,49.71,10.82,622.84,61.80,6.57,68.37,8.87,7.09,52.41,13.32,39.10,0.00,39.10,9.92,2838.39,303.99,29.52,332.09,38.77,33.08,261.66,67.68,192.92,1.42,193.98
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,58.67,71.94,180.43,24.62,9.54,12.93,0.00,0.00,7.11,-4.33,4.68,0.35,0.78,0.69,-1.12,-0.20,0.00,-0.93,27.43,-60.90,7.66,-3.91,3.54,-0.37,0.78,0.17,-1.32,3.71,-5.03,0.00,-5.03,-51.04,14.08,-3.55,2.77,-0.78,0.85,1.37,-3.00,-0.27,-2.71,0.00,-2.73,-25.21,48.71,-41.66,62.16,-33.06,3.13,6.33,11.04,-3.89,-38.63,53.56,14.93
AIA Engineering,532683,AIAENG,Castings & Forgings,3536.75,6130.81,33404.22,483.83,19.05,27.48,0.45,150.88,1294.80,382.10,62.32,444.42,24.51,7.42,412.49,88.41,0.00,324.09,50.93,29.51,1239.58,343.04,59.51,402.55,24.25,7.50,370.80,98.28,272.34,0.00,272.52,27.67,1328.66,311.99,32.14,344.13,24.56,3.87,315.70,70.79,244.81,0.00,244.92,23.48,4908.77,1245.38,234.54,1469.02,93.04,24.84,1362.04,305.54,1047.43,10.90,1056.50
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,133.25,40.18,127.69,18.88,-19.70,,0.75,0.96,80.47,3.32,0.10,3.42,1.04,0.61,1.77,0.42,0.00,1.35,19.56,4.13,45.92,-6.30,0.38,-5.92,1.00,0.98,-7.90,-1.96,-5.94,0.00,-5.94,-13.72,63.32,3.04,0.51,3.55,1.07,0.18,2.30,0.56,1.74,0.00,1.74,4.80,206.18,2.20,1.11,3.16,3.52,2.41,-2.62,-0.61,-2.16,0.15,-2.01
Airan,543811,AIRAN,Computers - Software - Medium / Small,24.05,108.00,299.02,1.75,16.81,29.20,0.00,0.00,23.55,4.10,0.45,4.55,0.96,0.05,3.54,0.66,0.00,2.87,100.00,17.41,20.95,2.41,0.68,3.09,0.83,0.09,2.17,0.46,1.71,0.00,1.71,11.50,21.75,3.85,0.15,4.00,0.99,0.05,2.96,0.69,2.27,0.00,2.27,17.70,86.24,14.50,1.77,15.89,3.97,0.33,11.97,2.71,8.98,0.38,9.27
Airo Lam,,AIROLAM,Miscellaneous,128.35,68.89,192.55,52.57,12.26,22.52,0.00,0.00,50.19,4.75,0.00,4.75,0.85,1.22,2.68,0.91,0.00,1.77,39.25,9.46,48.81,5.59,0.00,5.59,0.84,1.12,3.63,1.00,2.64,0.00,2.64,11.45,45.81,2.82,0.51,3.33,0.83,1.09,1.41,0.38,1.04,0.00,1.04,6.16,198.07,16.58,0.70,17.28,3.32,4.19,9.77,2.38,7.40,0.00,7.40
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,1893.20,3481.87,23837.91,33.02,23.47,36.11,0.53,88.44,1028.44,290.66,21.33,311.99,33.71,2.34,275.94,80.64,0.00,195.30,75.10,28.26,1021.04,271.32,31.75,303.07,33.18,0.85,269.04,60.92,208.12,0.00,208.12,26.57,938.10,196.34,40.35,236.69,32.70,0.99,203.00,46.40,156.60,0.00,156.60,20.93,3742.64,808.26,73.63,889.78,130.80,5.84,745.25,157.27,594.01,-7.89,587.98
Ajanta Soya,519216,,Miscellaneous,32.76,125.00,263.66,0.00,47.78,,0.00,0.00,271.73,0.63,2.27,2.90,0.67,0.99,1.24,0.06,0.00,1.18,2.38,0.23,256.76,-2.40,1.66,-0.74,0.64,0.64,-2.02,-0.08,-1.93,0.00,-1.93,-0.93,275.48,-10.60,0.88,-9.72,0.71,0.88,-11.31,-3.18,-8.14,0.00,-8.14,-3.85,1236.20,6.17,3.02,7.52,2.46,2.91,3.82,1.59,0.57,1.67,2.24
Ajmera Realty,513349,AJMERA,Construction,429.30,807.40,1523.51,827.07,16.92,22.07,0.70,10.64,145.34,37.72,2.25,39.97,0.31,10.39,29.27,6.34,0.00,22.93,99.20,25.95,116.05,37.21,1.52,38.73,0.30,9.28,29.15,7.58,21.07,0.00,21.57,32.06,185.47,56.01,1.67,57.68,0.44,11.39,45.85,11.55,34.18,0.00,34.30,30.20,431.10,124.43,9.53,133.96,1.50,36.27,96.19,24.60,71.50,0.00,71.59
Ajooni Biotech,,AJOONI,Miscellaneous,6.50,40.72,56.95,7.89,19.27,39.28,0.00,0.00,19.48,0.63,0.29,0.92,0.21,0.19,0.52,0.12,0.00,0.40,9.65,3.23,21.00,0.66,0.07,0.73,0.21,0.13,0.39,-0.01,0.40,0.00,0.40,3.14,10.29,0.59,0.00,0.59,0.25,0.13,0.21,0.04,0.16,0.00,0.16,5.73,74.48,2.77,0.29,3.06,1.00,0.48,1.58,0.45,1.12,0.00,1.12
Akar Auto Indust,530621,,Auto Ancillaries,130.20,42.18,140.46,61.27,8.40,20.07,0.38,0.54,95.76,5.57,0.06,5.63,0.90,2.47,2.26,0.80,0.00,1.46,36.86,5.82,89.77,5.15,0.05,5.20,0.95,2.22,2.03,0.88,1.15,0.00,1.15,5.74,88.42,5.00,0.04,5.04,1.00,2.21,1.83,0.57,1.26,0.00,1.26,5.65,365.98,22.20,0.18,22.38,4.05,10.04,8.29,1.41,6.88,0.00,6.88
Akash InfraProj.,,AKASH,Construction,36.50,82.80,61.55,79.96,24.99,,0.00,0.00,14.71,0.92,0.76,1.68,0.22,1.02,0.44,0.01,0.00,0.45,30.52,6.25,24.31,-0.20,0.12,-0.08,0.21,0.92,-1.21,0.00,-1.21,0.00,-1.21,-0.82,4.35,0.70,0.70,1.40,0.26,0.94,0.20,0.00,0.22,0.00,0.22,16.09,61.72,6.19,1.06,7.25,1.06,4.46,1.73,0.34,1.38,0.00,1.38
AKG Exim,,AKG,Trading,27.15,49.00,86.27,14.04,22.80,38.34,0.00,0.00,36.59,0.60,0.12,0.72,0.03,0.31,0.38,0.10,0.00,0.28,7.90,1.64,56.09,0.80,0.15,0.95,0.03,0.34,0.58,0.12,0.46,0.00,0.46,1.43,48.46,-0.21,1.03,0.82,0.02,0.23,0.57,0.15,0.42,0.00,0.42,-0.43,221.03,3.30,1.11,4.41,0.18,1.25,2.98,0.51,2.48,0.00,2.48
AKI India,542020,AKI,Leather / Leather Products,23.60,14.93,156.14,29.51,33.92,153.08,0.00,0.00,16.01,0.60,0.59,1.19,0.47,0.44,0.28,0.09,0.00,0.19,22.11,3.75,13.19,0.65,0.73,1.38,0.40,0.53,0.45,0.14,0.31,0.00,0.31,4.93,16.87,1.29,0.68,1.97,0.47,0.44,1.06,0.25,0.81,0.00,0.81,7.65,55.44,3.01,2.35,5.36,1.90,1.99,1.47,0.40,1.08,0.00,1.08
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,10.50,66.58,168.68,169.19,8.67,,0.00,0.00,60.34,2.03,6.64,2.44,5.50,3.84,-0.67,4.26,6.23,-4.93,32.53,3.36,57.93,7.74,0.18,8.09,5.59,4.14,-1.81,-0.01,-1.71,-0.17,-1.80,13.36,58.69,8.24,0.62,8.86,6.15,5.38,-2.67,0.00,-2.67,0.00,-2.67,14.04,286.55,47.67,-11.44,50.46,24.57,18.45,-6.79,6.79,7.18,-14.23,-13.58
Akshar Spintex,541303,AKSHAR,Textiles - Cotton/Blended,6.70,42.53,167.27,17.27,17.68,29.29,0.00,0.00,43.57,1.83,0.86,2.69,1.07,0.36,1.26,0.36,0.00,0.90,15.31,4.20,38.45,1.76,0.87,2.63,1.07,0.30,1.26,0.36,0.90,0.00,0.90,4.58,18.78,-6.46,0.12,-6.34,1.07,0.40,-7.81,-0.05,-7.76,0.00,-7.76,-34.40,135.53,-0.45,2.39,1.94,4.27,1.86,-4.19,-1.43,-2.76,0.00,-2.76
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,272.40,265.39,218.35,37.34,-8447.67,,0.18,0.40,73.30,-3.20,0.02,-3.18,3.49,0.88,-7.55,0.06,0.00,-7.60,14.73,-4.37,71.68,-0.67,0.04,-0.63,3.35,0.80,-4.78,0.60,-5.38,0.00,-5.38,-0.93,90.52,5.50,0.01,5.51,3.24,0.82,1.45,0.46,0.98,0.00,0.98,6.08,334.68,15.42,0.15,15.56,12.85,3.22,-0.50,0.44,-0.95,0.01,-0.94
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2607.25,1337.50,11938.62,62.80,17.88,30.08,2.49,295.75,956.30,141.80,8.90,150.70,21.10,2.70,126.90,32.70,0.00,94.20,44.65,14.83,999.20,162.10,8.20,170.30,19.30,3.40,147.60,37.70,109.90,0.00,109.90,16.22,926.20,106.40,4.80,111.20,19.60,3.40,88.20,22.80,65.40,0.00,65.40,11.49,3802.10,526.20,26.30,553.60,82.50,14.10,455.90,120.80,335.90,-1.10,335.10
Alacrity Sec.,535916,,Finance & Investments,31.95,32.17,67.35,9.78,4.84,7.38,0.00,0.00,124.93,9.61,0.53,-3.46,0.06,0.71,-4.23,0.00,0.00,7.57,-1.22,-3.77,91.41,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,,115.80,2.15,0.42,-1.18,0.11,0.38,-1.67,-0.01,-1.65,0.00,1.67,-3.86,207.86,5.57,0.02,5.59,0.15,0.87,4.57,1.33,3.23,0.00,3.23
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,15.80,168.85,355.46,12.89,11.82,23.79,0.00,0.00,43.32,4.62,2.47,7.09,1.91,0.60,4.58,2.04,0.00,2.54,59.67,10.66,48.62,5.36,2.45,7.81,1.94,0.25,5.62,0.77,4.73,0.00,4.85,11.02,13.19,-14.67,-36.85,-1.43,1.90,0.49,-53.91,-4.21,-1.28,-50.09,-49.69,-111.22,311.69,12.53,-40.00,22.53,8.48,2.41,-38.36,-3.23,20.38,-50.00,-35.13
