Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
Manaksia,532932,MANAKSIA,Trading,133.40,781.49,875.76,76.35,3.78,7.43,4.50,19.66,198.83,25.41,15.20,40.16,2.72,3.58,34.31,10.30,0.45,24.02,29.49,12.78,235.72,29.68,6.89,43.60,2.66,2.13,31.78,9.67,26.29,-7.03,22.11,12.59,261.59,27.47,18.14,45.61,5.94,3.94,35.73,10.90,24.60,0.00,24.83,10.50,1165.45,146.17,77.32,213.27,20.75,15.39,187.35,79.57,101.11,10.22,107.78
Manaksia Alumi.,539045,MANAKALUCO,Aluminium and Aluminium Products,25.00,127.07,164.83,152.08,8.96,32.45,0.20,0.33,99.65,8.55,0.35,8.90,1.97,5.34,1.59,0.41,0.00,1.18,35.67,8.58,91.47,8.06,0.19,8.25,1.91,4.86,1.48,0.37,1.10,0.00,1.10,8.81,119.75,8.45,0.28,8.73,1.77,4.16,2.80,0.78,2.02,0.00,2.02,7.06,466.37,31.76,3.34,33.19,7.11,16.89,11.10,2.24,7.35,1.91,8.87
Manaksia Coated,539046,MANAKCOAT,Steel - Medium / Small,31.65,121.29,201.91,186.02,8.06,32.99,0.09,0.20,194.53,12.49,1.38,13.87,2.31,9.59,1.97,-0.04,0.00,2.01,20.85,6.42,171.70,7.48,4.26,11.74,2.29,8.80,0.65,0.52,0.12,0.00,0.12,4.36,148.73,7.44,1.63,9.07,2.31,6.05,0.71,-0.03,0.74,0.00,0.74,5.00,651.84,32.67,10.12,38.18,9.19,21.84,11.76,2.41,5.69,4.61,9.36
Manaksia Steels,539044,MANAKSTEEL,Steel - Medium / Small,46.40,311.90,303.49,14.71,5.76,10.63,0.00,0.00,166.33,9.78,4.53,14.27,1.83,0.68,11.80,2.89,0.04,8.92,18.06,5.88,218.23,13.44,2.73,16.78,1.97,0.72,13.48,3.33,10.61,-0.61,10.15,6.16,156.38,4.55,2.24,6.79,2.68,0.85,3.26,0.80,2.46,0.00,2.46,2.91,742.38,24.05,7.27,29.87,10.28,3.93,17.11,4.93,11.17,1.45,12.19
Manali Petrochem,500268,MANALIPETC,Petrochemicals,78.50,1049.08,1351.17,13.29,15.64,76.47,0.96,12.90,270.00,14.55,8.52,23.07,5.95,2.20,14.92,4.06,0.00,10.86,20.26,5.39,301.32,7.63,6.57,14.20,6.15,2.15,5.90,1.79,4.11,0.00,4.11,2.53,285.65,17.56,6.40,23.96,5.50,1.77,16.69,5.00,11.68,0.00,11.68,6.15,1181.30,78.52,23.84,102.37,23.17,9.22,69.97,19.30,50.68,-0.01,50.67
Manappuram Fin.,531213,MANAPPURAM,Finance & Investments,172.75,10572.07,14630.70,32921.67,8.12,7.87,1.74,253.92,2156.70,1481.32,17.32,1498.64,62.50,689.44,746.70,186.05,0.00,560.65,100.00,68.68,2026.26,1354.79,30.91,1385.70,56.46,648.40,680.84,182.82,495.89,0.00,498.02,66.86,1696.26,1109.07,17.86,1126.93,45.83,528.37,552.73,143.25,408.35,0.00,409.48,65.38,6684.04,4366.69,65.91,4431.79,203.76,2187.79,2041.05,540.88,1495.39,0.81,1500.17
Mangal Credit,505850,,Finance & Investments,108.90,114.87,210.33,85.12,13.90,22.38,0.46,0.97,7.54,5.89,0.07,5.96,0.17,2.22,3.57,0.94,0.00,2.63,100.00,78.12,7.49,5.61,0.07,5.68,0.16,2.18,3.34,0.88,2.47,0.00,2.47,74.90,4.84,3.66,0.05,3.71,0.13,0.85,2.73,0.69,2.04,0.00,2.04,75.62,21.26,15.76,0.14,15.90,0.53,4.36,11.01,3.09,7.91,0.00,7.91
Mangalam Alloys,,MAL,Steel - Medium / Small,53.20,127.83,131.33,142.04,7.44,18.79,0.00,0.00,140.47,20.30,,,,,,,,6.01,,,,,,,,,,,,,,,100.49,11.78,,,,,,,,,1.68,,302.56,33.24,5.26,33.36,6.69,18.80,13.01,2.88,6.99,5.14,10.14
Mangalam Cement,502157,MANGLMCEM,Cement - North India,647.75,778.60,1782.44,623.03,11.40,41.82,0.23,4.12,428.21,48.06,8.09,56.15,18.44,17.59,20.12,8.33,0.00,11.79,54.40,11.22,420.53,51.41,5.70,57.11,18.22,15.82,23.07,8.37,14.69,0.00,14.69,12.23,399.24,7.12,-10.35,16.22,17.34,18.68,-39.25,-12.13,-7.67,-19.45,-27.12,1.78,1801.59,147.85,15.50,176.49,69.47,66.16,27.72,10.59,25.24,-13.14,17.12
Mangalam Drugs,532637,MANGALAM,Pharmaceuticals - Indian - Bulk Drugs & Formln,100.00,138.93,158.36,88.85,40.97,,0.00,0.00,81.56,2.19,0.03,2.22,3.73,3.24,-4.75,-1.19,0.00,-3.56,37.81,2.69,87.46,-3.48,0.02,-3.46,3.42,3.41,-10.29,-0.75,-9.54,0.00,-9.54,-3.98,108.33,8.44,0.00,8.44,2.76,2.56,3.12,0.90,2.23,0.00,2.23,7.79,372.25,25.51,0.44,25.95,10.99,12.75,2.21,0.94,1.27,0.00,1.27
