Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
JSLHISAR,JINDAL STAINLESS (,84441024964,372.9,4.23480084,3.06799337,139548,52037449.2,362.18835007,360.29816676,361.02401339,308.09141138,93750700000,Non-Energy Minerals,19540100000,4.0074,
KAJARIACER,KAJARIA CERAMICS,152278664764,997.15,4.22262869,-4.4555167,419357,418161832.55,1004.61704348,1031.79918233,1112.30468246,1110.80797543,27809000000,Producer Manufacturing,6356800000,27.6101,
GOCOLORS,GO FASHION INDIA LTD,51332839133,991.15,4.21639241,5.31824461,96659,95803567.85,953.58432073,943.83511331,976.48078498,,2506680000,Consumer Non-Durables,,,
63MOONS,63 MOONS TECHNOLOG,11247771160,252.85,4.13920923,14.80136209,110160,27853956,231.05933247,229.05753362,231.34806979,174.65150334,1602243000,Technology Services,-1042454000,,
ABBOTINDIA,ABBOTT INDIA LTD,344587187800,16909.95,4.13332307,1.34457257,27308,461776914.6,16733.48558868,16878.49661778,17149.95108812,17748.78745042,43097100000,Health Technology,9994300000,31.5508,
SKFINDIA,SKF INDIA,163446862214,3447.6,4.1240694,3.17985245,41528,143171932.79999998,3356.2307822,3367.62859914,3470.1049266,3258.00702877,26707300000,Producer Manufacturing,5449400000,24.3108,
FCSSOFT,FCS SOFTWARE SOLUT,6291155524,3.85,4.05405405,-12.5,4339214,16705973.9,4.03410845,4.11899539,4.33874547,3.18913754,340587000,Technology Services,9094000,24.4896,
GRINDWELL,GRINDWELL NORTON,198404700781,1865.15,4.00947999,3.26089965,104237,194417640.55,1795.63140611,1769.71037677,1759.03592546,1556.30114892,16379156000,Process Industries,3907300000,29.7162,
DCMSHRIRAM,DCM SHRIRAM LTD,173984806744,1117.5,3.99702201,4.06481352,180840,202088700,1068.34412817,1055.50312776,1045.9495908,947.60879744,81154300000,Producer Manufacturing,15225400000,8.21346,
EVERESTIND,EVEREST INDUSTRIES,11373660965,755.65,3.99091722,-0.57236842,142545,107714129.25,714.94019983,686.0276544,638.10205859,508.63742028,12175116000,Producer Manufacturing,890700000,2.62888,
KCP,KCP LTD,14587429206,117.25,3.94503546,-1.63590604,750830,88034817.5,115.69530518,115.94756751,120.72602616,123.50842372,16935491999.999998,Producer Manufacturing,4410581000,3.47693,
RGL,RENAISSANCE GLOBAL,15443382172,850.4,3.88468116,6.82075116,64649,54977509.6,814.67811631,820.77880508,856.92110956,779.78669437,20312391000,Consumer Durables,1727952000,8.3884,22923600000
VINATIORGA,VINATI ORGANICS,201401414154,2035.4,3.82839799,5.40925451,61612,125405064.80000003,1955.630591,1928.39268526,1925.91607002,1864.73695872,9429330000,Process Industries,3944176000,40.7022,
MSPL,MSP STEEL & POWER,4023732527,10.85,3.8277512,-3.98230088,1451930,15753440.5,11.19059062,11.54178436,12.01198522,11.08016026,17231344000,Non-Energy Minerals,1513680000,9.25817,
ENGINERSIN,ENGINEERS INDIA,36701367719,67.85,3.82555471,10.32520325,6089850,413196322.49999994,64.13623681,63.99036827,65.60152535,70.60847837,31441694000,Industrial Services,4056152000,8.98666,
ORISSAMINE,ORISSA MINERALS DE,16321500000,2832.3,3.81950808,3.58220418,32837,93004235.1,2749.37928469,2719.59150727,2690.54424318,2668.33392813,0,Non-Energy Minerals,-356165000,,
HESTERBIO,HESTER BIOSCIENCES,21370097657,2610.25,3.79346681,4.45596062,21190,55311197.5,2489.97637654,2443.97598372,2420.49920875,2364.94248408,2143320000.0000005,Health Technology,694350000,24.6317,
MEDPLUS,MEDPLUS HEALTH SERV LTD,116042671905,1007.4,3.74871267,2.80116332,218540,220157196,984.51568048,996.93155108,1040.95334242,,30692690000,Retail Trade,,,
SIMPLEXINF,SIMPLEX INFRASTRUC,2354284164,43.3,3.71257485,9.62025316,589992,25546653.6,41.24228803,40.9612164,41.66786329,41.80743096,22000300000,Industrial Services,707000000,214.093,
KESORAMIND,KESORAM INDUSTRIES,12554529511,53.25,3.70009737,2.89855072,1027155,54696003.75,52.08168272,52.86824793,56.33687332,64.31447998,26527700000,Consumer Durables,5293700000,7.81187,
ARMANFIN,ARMAN FINANCIAL SE,8212210509,1002.2,3.66692527,5.02488866,36009,36088219.80000001,941.45960036,901.15241297,861.22904577,816.94312844,1932607000,Finance,616983000,11.5438,
GRINFRA,G R INFRAPROJECTS LTD,140121709470,1503.9,3.63504807,4.24927215,181159,272445020.1,1450.15105469,1455.92357043,1550.76529826,,78441305000,Industrial Services,,,
CENTUM,CENTUM ELECTRONICS,5499224324,441.7,3.62463343,4.81727575,98697,43594464.9,432.66848492,437.1972805,474.86464091,494.70587192,7828810000,Electronic Technology,601380000,14.242,
SANSERA,SANSERA ENGINEERING LTD,30007222610,600.15,3.60811394,2.40593806,60804,36491520.6,589.64625804,606.81011701,655.35205228,,15389190000,Producer Manufacturing,,,
AIRTELPP.E1,BHARTI RS. 1.25 PPD UP,4312806140748,380.65,3.59232549,7.83286119,1365671,519842666.15,354.90690153,348.97982874,351.95860961,,1006158000000,Communications,537385000000,,3845470000000
NH,NARAYANA HRUDAYALA,147855034508,749.15,3.55957976,9.87020606,209314,156807583.1,705.77850461,689.67570073,662.2466795,574.72889032,25823460000,Health Services,6189570000,44.6242,
GREENPLY,GREENPLY INDUSTRIE,22906796453,193.7,3.55519914,1.04329682,764082,148002683.4,186.38504772,184.29447562,189.07628931,190.66346065,11653444000,Producer Manufacturing,1512100000,17.6586,
DALBHARAT,DALMIA BHARAT LTD,258774862251,1431.7,3.47269902,0.65028648,523841,749983159.7,1416.29865779,1467.29677925,1618.77669275,1768.02364025,104340000000,Producer Manufacturing,24760000000,11.117,
MOIL,MOIL LTD,37675286173,191.8,3.45199569,10.86705202,1908774,366102853.2000001,180.0806641,177.0045932,174.5608695,170.40237353,11721442000,Non-Energy Minerals,4833845000,5.29646,
JSL,JINDAL STAINLESS,94828541117,194.5,3.42993885,3.73333333,1645297,320010266.5,188.54037931,188.89739017,191.19531321,166.30444771,121392600000,Non-Energy Minerals,26877600000,4.69626,
VRLLOG,VRL LOGISTICS LTD,41268905404,471.95,3.41842884,7.78805527,214434,101202126.3,451.0393143,449.48702416,453.72835085,399.21598038,17629224000,Transportation,3740242000,9.73009,
CENTURYTEX,CENTURY TEXT & IND,92780018248,859.45,3.3924812,3.04538097,286737,246436114.65,827.57469784,811.95116067,821.77901674,777.88069979,25815700000,Process Industries,4056800000,31.5544,
MONTECARLO,MONTE CARLO FASHIO,10094442420,502.2,3.33333333,0.61103877,40149,20162827.8,498.74241587,502.45586168,526.64198591,466.70356707,6218785000,Consumer Non-Durables,1582878000,3.16085,
SARDAEN,SARDA ENERGY & MIN,40340895370,1159.1,3.32501337,-0.81718222,49704,57611906.4,1112.58550547,1051.88350296,951.58410207,777.88893715,21988100000,Non-Energy Minerals,11747700000,5.95526,
METROPOLIS,METROPOLIS HEALTHC,101336142479,2047.75,3.31735621,2.24180543,312754,640442003.5,1991.37705377,2008.66642594,2238.30662496,2578.10582151,9979870000,Health Services,3643359000,37.4711,
CRISIL,CRISIL LTD,234291512692,3312.25,3.31732119,7.62619616,80017,265036308.25,3064.69507609,2960.55250792,2890.59981041,2741.8619688,23006900000,Technology Services,6159600000,,
