Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
THEINVEST,THE INVESTMENT TRU,5899191163,107.6,-4.98896247,4.46601942,119423,12849914.8,105.5905687,99.62067473,91.70002335,86.21500747,3083595000,Finance,342197000,15.88441793,3828110000
PATINTLOG,PATEL INTEGRATED L,1165126931,17.2,-4.97237569,1.17647059,468799,8063342.8,17.08453638,16.36293038,15.70729416,14.81966572,2782780000,Transportation,86430000,14.81313122,1083960000
LGHL,LAXMI GOLDORNA HOUSE LTD,3339500000,152.1,-4.9375,1.4,456,69357.6,157.24822314,,,,608757500,Consumer Durables,30327500,121.10038744,
GENUSPOWER,GENUS POWER INFRA,60647955007,224,-4.90341753,-4.7213992,1217388,272694912,236.73956637,241.102714,242.69064102,183.80131717,8061265000,Electronic Technology,1023090000,57.83358552,58964800000
REGENCERAM,REGENCY CERAMICS,1187491603,42.85,-4.88346071,10.15423598,9887,423657.95,40.43794701,39.62938972,37.5035319,29.51665225,408000,Producer Manufacturing,-41126000,,1404360000
GOLDSTAR.ST,GOLDSTAR POWER LTD,3514293119,16.6,-4.87106562,3.75,33750,560250,15.79437373,,,,499830000,Producer Manufacturing,66245000.00000001,55.56553882,
AKSHAR,AKSHAR SPINTEX LTD,1824927088,6.9,-4.82758621,-6.12244898,13443521,92760294.9,6.9567662,6.84765338,6.85256686,7.01370373,1355325000,Process Industries,72203000,27.66590153,1737570000
GLOBALVECT,GLOBAL VECTRA HELI,1486379974,101.05,-4.71475719,7.5,72382,7314201.1,98.08034265,95.35597471,89.68438274,74.66800303,4111173000,Industrial Services,530971000,11.70563924,5826580000
ESSENTIA,INTEGRA ESSENTIA LTD,3414040000,7.1,-4.69798658,-4.69798658,19945228,141611118.79999998,7.10884687,6.87582514,6.56011102,6.32550695,2414141000,Consumer Non-Durables,71240000,47.78222908,2855560000
NDTV,NEW DELHI TELEVISI,14802603457,219.15,-4.67594192,13.49041359,3328460,729432009,204.49345435,201.16676965,204.40175786,221.62522848,3858630000,Consumer Services,30700000,480.29978687,13378400000
THOMASCOOK,THOMAS COOK,77989097322,158.4,-4.54956312,-1.85872998,947243,150043291.20000002,156.73519002,150.6174266,136.67249735,102.82053028,50476660000,Finance,3613540000,19.57603827,48444900000
DJML,DJ MEDIAPRINT & LOG LTD,1676150000,147.95,-4.51758632,-4.45593126,164563,24347095.85,153.72634366,154.24584997,153.49620307,152.35366736,505536000,Commercial Services,,,1747930000
TIRUPATI,SHREE TIRUPATI BAL,4345787232,410,-4.42890443,-5.72545196,2500,1025000,417.36148641,395.77274631,320.51373004,180.18860249,1762421000,Process Industries,246274000,19.85406999,
