Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
MMP,MMP INDUSTRIES LTD,4905244665,202.15,4.68669083,-1.74969623,55509,11221144.35,199.17139171,197.08736845,187.86855037,159.46713243,2307336000,Non-Energy Minerals,365098000,9.02288,
RAJRATAN,RAJRATAN GLOBAL WIRE LTD,35052299576,727.1,4.68648765,23.71958482,189825,138021757.5,639.59509623,603.01772963,553.48557572,445.93456091,8928600000,Producer Manufacturing,1815700000,,
GSS,GSS INFOTECH LTD,2540526581,156.9,4.63487829,-1.04068117,513417,80555127.3,145.92401596,136.62223663,124.02549077,102.15999564,1149261904,Technology Services,55359070,,
DANGEE,DANGEE DUMS LTD,3254520000,331.8,4.60277427,0.07540341,7890,2617902,322.21041356,313.39470694,283.99999055,222.30066577,134363000,Consumer Non-Durables,33709000,,
SDBL,SOM DIST & BREW LTD,4479154785,67.45,4.57364341,3.8491147,246470,16624401.5,65.1704822,63.44304848,56.60778658,46.45235468,2875720633,Consumer Non-Durables,132305000,,
DPSCLTD,DPSC LTD,13876501968,14.9,4.56140351,3.47222222,225134,3354496.6,14.52365875,14.52279726,14.84404079,15.61714518,5102188000,Utilities,,30.5842,
HDIL,HOUSING DEVELOPMEN,3161606702,6.9,4.54545455,-2.12765957,858098,5920876.2,7.11205548,7.22334621,6.73574428,5.71114667,,Finance,,,
IDBI,IDBI BANK LTD,486008594141,47.3,4.53038674,1.61117078,17380119,822079628.6999999,46.17005844,45.89609487,45.82758548,44.91485418,248026783000,Finance,,,332036000000
SHIVAMAUTO,SHIVAM AUTOTECH LTD,4082222380,34.85,4.49775112,20.58823529,490779,17103648.15,32.09982888,31.04182311,29.39392523,26.96925768,4874115000,Producer Manufacturing,799066000,7.78402,
COSMOFILMS,COSMO FILMS LTD,33252433392,1915,4.49349303,2.50508511,153675,294287625,1884.80170134,1867.00112417,1778.10792771,1477.51917771,22518900000,Process Industries,5366500000,4.43207,
ANANDRATHI,ANAND RATHI WEALTH LTD,26682244442,668.65,4.37056115,1.57223151,178633,119442955.45,648.35043906,634.38507806,612.44356055,,4256251000,Finance,,,
ALBERTDAVD,ALBERT DAVID,3467386145,633.55,4.30523543,6.11339084,76768,48636366.4,601.64342084,589.37682108,582.65838651,571.7891383,2457516000,Health Technology,373746000,3.1814,
AUTOIND,AUTOLINE INDUSTRIE,2384086751,65.65,4.28911835,-6.61450925,72940,4788511,66.14791814,64.28420914,61.68923132,57.12667355,2846947721,Producer Manufacturing,365400000,43.341,
WALCHANNAG,WALCHANDNAGAR IND,2402229680,65.75,4.28231562,-6.20542083,205182,13490716.5,64.91158103,62.80711457,58.85778352,57.79687077,3256400000,Producer Manufacturing,130500000,27.4371,
INNOVANA,INNOVANA THINKLABS,4305000000,437.5,4.16666667,4.16666667,1000,437500,428.12133538,417.2636287,370.61662148,248.94778978,565991491,Technology Services,218059350,3.05116,
KOPRAN,KOPRAN LTD,12585378009,271.95,4.13555428,-2.22901312,165129,44906831.55,279.93136301,285.56272009,287.89848297,255.40237091,4822561000,Health Technology,797759000,6.91197,
PODDARHOUS,PODDAR HOUSING AND,1476540568,245.9,4.12873174,-2.9788913,7929,1949741.1,241.13526184,235.6205192,227.17136583,208.2061505,548625000,Finance,-99510000,79.4827,
LGBBROSLTD,LG BALAKRISHNA & B,19593577213,650.75,4.08669226,6.30564404,287899,187350274.25,618.99245987,604.22280642,596.40082934,537.23819106,16011437000,Producer Manufacturing,3723025000,3.60774,
SRHHYPOLTD,SREE RAYALASEEMA H,7850330403,475.7,4.0463692,5.33658105,44627,21229063.9,458.01607628,456.63122817,435.42613109,365.50107106,9101500000,Process Industries,1362799000,2.59167,
HITECHGEAR,THE HI-TECH GEARS,4095177466,225.9,3.98158803,0.6684492,14243,3217493.7,224.65489679,225.13944153,227.89656308,234.22101366,7411530000,Producer Manufacturing,885910000,7.77119,
CHENNPETRO,CHENNAI PETRO CP,34338967953,239.25,3.90879479,4.3392935,4671622,1117685563.5,214.89147475,190.7650157,156.3250271,125.93735478,222182200000,Energy Minerals,16642000000,5.16153,
HEROMOTOCO,HERO MOTOCORP LTD,480857422953,2500,3.85294423,9.89735587,2082863,5207157500,2351.09041936,2342.67226201,2400.90012177,2603.86251949,305090100000,Consumer Durables,38154600000,14.0618,
DEN,DEN NETWORKS LTD,20500933685,44.65,3.8372093,2.52583238,5250631,234440674.15,43.19729687,42.18739859,41.2280723,44.88769686,12255960000,Consumer Services,2033320000,,
ANSALAPI,ANSAL PROPS & INFR,3354242235,21.95,3.78250591,13.43669251,473999,10404278.05,19.53680827,18.07246509,16.33512937,13.00834232,8407504999.999999,Finance,,,3158120000
TV18BRDCST,TV18 BROADCAST LTD,124462541183,75.15,3.72670807,3.01576422,46030973,3459227620.9500003,73.22742993,73.1139418,68.94708105,53.8029842,44976200000,Consumer Services,10631000000,8.26236,
MADRASFERT,MADRAS FERTILIZERS,8973342706,57.85,3.67383513,14.1025641,1782750,103132087.5,54.27064093,51.32249557,44.61310055,34.80378888,15327900000,Process Industries,2078000000,12.6288,
ARIHANTSUP,ARIHANT SUPERSTRUC,6723484980,170.3,3.62032248,12.48348745,178128,30335198.4,158.23925548,151.63361957,151.07782324,142.02547409,2629125000,Finance,734868000,9.30929,10176600000
PREMIERPOL,PREMIER POLYFILM L,2278148925,112.15,3.60277136,-12.82549553,42385,4753477.75,110.53693869,102.63143211,91.30771864,76.83005389,1509358035,Consumer Durables,236100000,5.37306,
KABRAEXTRU,KABRA EXTRUSIONTEC,13603149421,441.25,3.57981221,0.45532157,114887,50693888.75,447.98374636,461.46923762,463.39629775,365.13997507,2751309000,Producer Manufacturing,520756000,13.0116,
INFOBEAN,INFOBEANS TECHNO. LTD.,17365646683,743.6,3.50059155,2.25522552,51502,38296887.20000001,733.94003653,729.4467609,679.59575276,505.2862235,1803400000,Technology Services,510345000,9.1058,
AMRUTANJAN,AMRUTANJAN HEALTH,25684955706,907.5,3.47776511,2.27656937,40700,36935250,891.78450643,879.85280763,863.65749021,815.8457338,3328440000,Health Technology,755085000,19.9501,
GTLINFRA,GTL INFRASTRUCTURE,18808757572,1.5,3.44827586,0,83732074,125598111,1.53447796,1.56985613,1.66102721,1.69911962,14096800000,Industrial Services,4012900000,13.5297,
DPABHUSHAN,D. P. ABHUSHAN LTD,8781780000,408.1,3.44740177,3.09460654,36709,14980942.9,395.71191398,391.5254415,383.50779552,308.05865028,12152294000,Retail Trade,721491000,8.11685,
INEOSSTYRO,INEOS STYROLUTION,14930193747,877.7,3.42308372,7.01048525,392117,344161090.90000004,911.40649313,962.7695917,1046.03903419,1196.60056844,16314840000,Process Industries,5611296000,3.62273,
AUSOMENT,AUSOM ENTERPRISE,1155958313,87.9,3.35097002,7.85276074,20303,1784633.7,82.51398394,78.27973347,73.70674146,69.73776843,4734873157,Finance,110285000,5.60743,
CENTRUM,CENTRUM CAPITAL,11191280692,27.8,3.34572491,7.33590734,1775289,49353034.2,27.52800098,27.52056667,28.18412083,31.6948797,4994809000,Finance,171459000,11.5141,
MOL,MEGHMANI ORGANICS LTD,31534963806,128.45,3.3386967,12.18340611,2537282,325913872.9,118.77485438,113.60438597,108.25753225,,16152423000,Process Industries,,,
CONTROLPR,CONTROL PRINT LTD,7445627731,470.35,3.30551285,0.07446809,49043,23067375.05,448.48385729,427.94962882,398.15356252,356.72394742,2036388000,Electronic Technology,573114000,7.84869,
RADICO,RADICO KHAITAN,115935256565,895.55,3.29892151,0.98669373,269311,241181466.05,889.17798818,896.3675854,925.7163565,924.6659493,24181381000,Consumer Non-Durables,4239237000,,
ABCAPITAL,ADITYA BIRLA CAPIT,282104427368,120.6,3.25342466,9.68622101,14264782,1720332709.1999998,115.20559508,113.57090316,112.64477468,112.17469633,188997600000,Finance,27973500000,12.9995,
PRECOT,PRECOT LTD,3679799927,316.4,3.17952063,-4.04852161,22516,7124062.4,320.02139,323.81381166,326.84217654,284.31654884,6620008000,Process Industries,1892800000,4.93329,
VAKRANGEE,VAKRANGEE LTD,36923564875,35.95,3.15638451,1.84135977,6375200,229188440.00000003,35.29513575,34.92823116,34.90113938,38.04088051,3142914000,Retail Trade,1262299000,163.448,
DCW,DCW,12425044975,49.15,3.14795383,13.90498262,3982230,195726604.5,45.65737243,44.50933054,43.36930059,40.86614255,14642617000,Process Industries,2958645000,5.6612,
APOLLOTYRE,APOLLO TYRES,129624108210,210.5,3.13571779,8.281893,8443657,1777389798.5,199.72451295,197.1539025,198.13804271,207.95483266,169945370000,Consumer Durables,27623970000,7.7963,
CENTENKA,CENTURY ENKA,12723597035,599.75,3.12070151,-3.61591,101000,60574750,604.01261759,599.08510808,571.90837823,478.99522083,12208200000,Process Industries,2628800000,1.79996,
BALKRISIND,BALKRISHNA INDS,412993185875,2202.6,3.11797753,5.0708391,634985,1398617961,2120.00569503,2100.83176116,2098.08188042,2148.79296952,56887200000,Producer Manufacturing,20561400000,19.0797,
PARIN,PARIN FURNITURE LTD,1608218637,149,3.0072589,23.65145228,2000,298000,126.73436196,110.51500619,88.02963429,,839064763,Consumer Durables,77091890,7.7404,
