,,,,,,,,,,,,,,,Sum of Last,Column Labels,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,BURGERKING,,,,,,,,139.9,,,,,,139.9
,,,,,,,,,,,,,3,,BUTTERFLY,1268.85,,,1339.45,,,,,,1284.4,,,,3892.7
,,,,,,,,,,,,,1,,BYKE,,,,,,,,,34.95,,,,,34.95
,,,,,,,,,,,,,1,,CAMLINFINE,150.65,,,,,,,,,,,,,150.65
,,,,,,,,,,,,,1,,CANFINHOME,,,,,,,624.2,,,,,,,624.2
,,,,,,,,,,,,,1,,CANTABIL,905.85,,,,,,,,,,,,,905.85
,,,,,,,,,,,,,1,,CAPACITE,,,,,,,141.75,,,,,,,141.75
,,,,,,,,,,,,,1,,CAPTRUST,,,,,,,122.3,,,,,,,122.3
,,,,,,,,,,,,,1,,CARBORUNIV,,,,,,,,865.8,,,,,,865.8
,,,,,,,,,,,,,1,,CARERATING,,,,,,,,,544.8,,,,,544.8
,,,,,,,,,,,,,1,,CCL,,,485.2,,,,,,,,,,,485.2
,,,,,,,,,,,,,1,,CEBBCO,,,,,,,44.05,,,,,,,44.05
,,,,,,,,,,,,,2,,CENTENKA,,,,,,,543.1,,,,,,505.25,1048.35
,,,,,,,,,,,,,1,,CENTRUM,,,,,,,,31.7,,,,,,31.7
,,,,,,,,,,,,,1,,CENTURYTEX,,,,,,,,,,,,,775.4,775.4
,,,,,,,,,,,,,2,,CEREBRAINT,,,82.95,,,,,84.95,,,,,,167.9
,,,,,,,,,,,,,1,,CGCL,,,,,,,,597.25,,,,,,597.25
,,,,,,,,,,,,,2,,CGPOWER,,,,,,,,,173.35,,,,174.75,348.1
,,,,,,,,,,,,,1,,CHALET,,,,,,,242.65,,,,,,,242.65
,,,,,,,,,,,,,2,,CHAMBLFERT,,,404.1,,,,,,,,,,380.3,784.4
,,,,,,,,,,,,,1,,CHEMFAB,,,,,,,200,,,,,,,200
,,,,,,,,,,,,,1,,CHENNPETRO,,,,,,,106.15,,,,,,,106.15
,,,,,,,,,,,,,2,,CIGNITITEC,,535.1,,,,,,,,,,,537.8,1072.9
,,,,,,,,,,,,,2,,CINELINE,109.1,119.25,,,,,,,,,,,,228.35
,,,,,,,,,,,,,1,,CLEAN,,,,,,,,2052.45,,,,,,2052.45
,,,,,,,,,,,,,3,,CLEDUCATE,,,,110.95,,,113.85,,,125.5,,,,350.3
,,,,,,,,,,,,,2,,COFFEEDAY,,,,,,,60.9,66.9,,,,,,127.8
,,,,,,,,,,,,,1,,COMPINFO,,,,,,,35.1,,,,,,,35.1
,,,,,,,,,,,,,1,,CONFIPET,,,,,,,,,72.95,,,,,72.95
,,,,,,,,,,,,,1,,COROMANDEL,,,,,,,788.65,,,,,,,788.65
,,,,,,,,,,,,,3,,COSMOFILMS,,,,1772.05,,,,1715.5,,,,,1549.95,5037.5
,,,,,,,,,,,,,1,,CRAFTSMAN,,,,,,,,,2043.75,,,,,2043.75
,,,,,,,,,,,,,2,,CREDITACC,,,757.65,,,,,727.35,,,,,,1485
,,,,,,,,,,,,,2,,CREST,,,,,,,,183.2,,,,193.1,,376.3
,,,,,,,,,,,,,1,,CSBBANK,,,,,,,,,,,,229.7,,229.7
,,,,,,,,,,,,,2,,CYBERTECH,,,,,,,181.05,,,,,,170.6,351.65
,,,,,,,,,,,,,2,,DALMIASUG,,,,,,,420.05,,,,,,401.85,821.9
,,,,,,,,,,,,,1,,DAMODARIND,75.55,,,,,,,,,,,,,75.55
,,,,,,,,,,,,,1,,DANGEE,,,,,,,,,,,226.55,,,226.55
,,,,,,,,,,,,,1,,DATAMATICS,,,,,,,,293.8,,,,,,293.8
,,,,,,,,,,,,,1,,DATAPATTNS,,,,,,,679.3,,,,,,,679.3
,,,,,,,,,,,,,1,,DBCORP,,,90.8,,,,,,,,,,,90.8
,,,,,,,,,,,,,1,,DBL,,,,,,,,312.35,,,,,,312.35
,,,,,,,,,,,,,6,,DBREALTY,105.15,110.4,115.9,121.65,127.7,,125.65,,,,,,,706.45
,,,,,,,,,,,,,1,,DCBBANK,,,,,,,83.25,,,,,,,83.25
,,,,,,,,,,,,,1,,DCMNVL,,,,,,,,,,,,,252.15,252.15
,,,,,,,,,,,,,1,,DCMSHRIRAM,,,,,,,1084.5,,,,,,,1084.5
,,,,,,,,,,,,,3,,DCMSRIND,,,107.8,,,,,105.45,,,,,96.65,309.9
,,,,,,,,,,,,,1,,DCW,,,,,,,,42.95,,,,,,42.95
