Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
APTECHT,APTECH LTD,12687326828,332.75,8.22898032,14.01404831,504340,167819135,316.3537576,327.7378958,348.9650572,313.560089,887830000,Commercial Services,296368000,33.1955,,3-Mar-22,,,,,,,,,,,,,,,,,,
SHARDACROP,SHARDA CROPCHEM,47455977478,568.1,8.19921912,10.39642441,428751,243573443.1,545.6436475,541.5019645,487.532355,381.8607041,23912317000,Process Industries,6161698000,4.9147,,3-Mar-22,,,,,,,,,,,,,,,,,,
KAMATHOTEL,KAMAT HOTELS (IND),1249955114,57.3,7.70676692,11.80487805,492280,28207644,55.04616938,54.31791662,53.08215741,49.47338838,636096000,Consumer Services,311554000,59.3553,,3-Mar-22,,,,,,,,,,,,,,,,,,
CYIENT,CYIENT LTD,89703137582,877.65,7.69372354,10.89140186,819471,719208723.2,844.7938335,871.6602074,929.5234362,923.5936064,41324000000,Commercial Services,7909000000,10.196,,3-Mar-22,,,,,,,,,,,,,,,,,,
THANGAMAYL,THANGAMAYIL JEWELL,15820735862,1246.65,7.67403697,19.00625268,72694,90623975.1,1144.396598,1149.777504,1200.317777,1082.233839,18186188000,Consumer Durables,789807000,7.52961,,3-Mar-22,,,,,,,,,,,,,,,,,,
INDIAGLYCO,INDIA GLYCOL,23535385108,816.8,7.37478638,11.36410117,478293,390669722.4,788.3468759,816.1704715,854.3687485,765.5386862,22915327000,Process Industries,2623100000,8.48846,,3-Mar-22,,,,,,,,,,,,,,,,,,
NAHARINDUS,NAHAR IND ENTERPRI,5807963567,156.1,7.21153846,10.35701661,533369,83258900.9,154.2493446,156.149696,148.7810984,116.8291851,13968888000,Process Industries,2941697000,13.3483,,3-Mar-22,,,,,,,,,,,,,,,,,,
INFOBEAN,INFOBEANS TECHNO. LTD.,14431288140,638.15,6.88384557,29.7844214,159895,102036994.3,560.4419513,549.1181195,517.795771,410.2558884,1803400000,Technology Services,510345000,9.1058,,3-Mar-22,,,,,,,,,,,,,,,,,,
SARDAEN,SARDA ENERGY & MIN,32793987230,972.65,6.72628518,27.08564709,433459,421603896.4,855.1104937,842.9545653,827.4676597,724.1378461,21988100000,Non-Energy Minerals,11747700000,5.95526,,3-Mar-22,,,,,,,,,,,,,,,,,,
VISHAL,VISHAL FABRICS LTD,7351092206,118.95,6.68161435,14.54020221,317771,37798860.45,112.9673287,115.6433761,113.9980294,103.6966139,9675400000,Process Industries,1580256000,8.32633,,3-Mar-22,,,,,,,,,,,,,,,,,,
RUSHIL,RUSHIL DECOR LTD,7729190104,412.5,6.6442606,19.18520659,83688,34521300,383.8304954,379.6514124,369.0499864,308.9065533,3354438484,Producer Manufacturing,532423000,20.2083,,3-Mar-22,,,,,,,,,,,,,,,,,,
XELPMOC,XELPMOC DESIGN AND,4076635147,301.4,6.48295354,5.07233746,61280,18469792,300.3819126,315.4974669,345.4149817,354.6773459,63205100,Technology Services,-89277090,,,3-Mar-22,,,,,,,,,,,,,,,,,,
LEMONTREE,LEMON TREE HOTELS,39176588050,52.65,6.36363636,14.95633188,8743339,460336798.4,50.1826052,49.92656928,49.38163826,46.09668012,2517204000,Consumer Services,1255984000,89.3908,59471700000,3-Mar-22,,,,,,,,,,,,,,,,,,
SAFARI,SAFARI IND (INDIA) LTD,18362748696,875.85,6.29892591,5.54953001,17344,15190742.4,851.9213101,870.4331101,886.0034358,813.0309708,3279755000,Consumer Durables,516736000,,,3-Mar-22,,,,,,,,,,,,,,,,,,
SALZERELEC,SALZER ELECTRONICS,2653933617,175.65,6.16500453,16.44017236,173663,30503905.95,171.338415,182.2836505,194.9016797,177.8403823,6236790000,Producer Manufacturing,690342000,6.10085,,3-Mar-22,,,,,,,,,,,,,,,,,,
CEBBCO,COMMERCIAL ENGINEE,3583780400,42.4,5.86766542,12.16931217,268686,11392286.4,41.13841376,42.9511865,43.93957863,36.50292591,3634639000,Producer Manufacturing,263941000,6.71891,,3-Mar-22,,,,,,,,,,,,,,,,,,
CHEMPLASTS,CHEMPLAST SANMAR LTD,80904670621,540.35,5.83684262,20.35861455,830617,448823896,501.9528022,513.7799916,542.7980529,,37958680000,Process Industries,,,,3-Mar-22,,,,,,,,,,,,,,,,,,
TCPLPACK,TCPL PACKAGING LTD,6117930145,711.15,5.76293873,5.20748576,90092,64068925.8,684.964982,654.0851243,599.8110882,528.0808042,8915808000,Commercial Services,1430952000,6.05307,,3-Mar-22,,,,,,,,,,,,,,,,,,
HCG,HEALTHCARE GLOBAL,31315143098,237.7,5.55062167,4.5294635,98024,23300304.8,232.8626371,236.0357859,240.214012,228.1202249,10091850000,Health Services,2109100000,24.4232,,3-Mar-22,,,,,,,,,,,,,,,,,,
ENGINERSIN,ENGINEERS INDIA,34565605042,64.9,5.52845528,11.41630901,3543781,229991386.9,63.01389837,64.6741776,67.40005253,71.87872765,31441694000,Industrial Services,4056152000,8.98666,,3-Mar-22,,,,,,,,,,,,,,,,,,
