BSE_Code,Date,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Company Name,NSE_Code
539487,231020,45,36,720.06,729.51,A ,,
539516,231020,906,901,213.7,214.25,B ,,
539517,231020,401,399,718.97,723.05,A ,,
539681,231020,50,50,34.66,33.99,XT,,
539784,231020,30,21,209.2,209.71,B ,,
539945,231020,306,301,114.03,114.63,B ,,
539980,231020,634,604,120.22,121.16,B ,,
540008,231020,177,176,63.78,64.18,A ,,
540154,231020,9,6,715.0,706.85,A ,,
540612,231020,177,160,163.99,164.17,B ,,
540669,231020,765,753,47.15,47.33,B ,,
540787,231020,25668,22413,74.87,75.98,A ,,
541097,231020,11079,9326,1000.0,1000.0,F ,,
541313,231020,692,610,28.98,28.97,A ,,
541809,231020,4508,4017,46.19,46.65,B ,,
541946,231020,24605,24601,1000.0,1000.0,F ,,
541972,231020,108,90,593.05,598.51,A ,,
542131,231020,2303,1215,206.12,207.15,B ,,
542230,231020,213,203,45.87,46.45,B ,,
542513,231020,4,2,59.28,59.5,A ,,
542730,231020,26862,26828,44.2,44.23,B ,,
542747,231020,1844,1773,58.24,58.73,A ,,
542758,231020,313,295,227.91,227.98,B ,,
542804,231020,29,20,15.93,17.5,B ,,
542810,231020,58,48,71.95,65.45,B ,,
542839,231020,5950,3716,0.88,0.86,B ,,
542841,231020,1350,1350,1.71,1.59,B ,,
542842,231020,150,150,57.92,52.66,B ,,
542844,231020,1699,1498,1.13,1.24,B ,,
542846,231020,4979,4671,1.64,1.55,B ,,
542847,231020,3316,3316,0.6,0.6,B ,,
542848,231020,13,12,2.02,1.92,B ,,
542863,231020,4824,4569,44.13,44.23,B ,,
542909,231020,1128,1068,1296.16,1297.82,F ,,
542921,231020,1579,1561,153.36,154.55,B ,,
542922,231020,3,3,455.44,456.11,B ,,
543071,231020,16368,13072,15.9,15.15,F ,,
543079,231020,4495,2994,1.08,1.1,F ,,
543092,231020,11,11,2.16,2.39,F ,,
543099,231020,11,11,11.82,13.13,F ,,
543106,231020,1,1,2.59,2.36,F ,,
938368,231020,85,85,975.0,975.0,F ,,
938388,231020,20,20,981.01,990.0,F ,,
938412,231020,100,100,966.8,954.0,F ,,
938428,231020,18,18,1020.0,970.23,F ,,
938432,231020,150,150,1006.0,1006.0,F ,,
938436,231020,150,150,959.0,920.0,F ,,
938482,231020,5,5,1009.6,1060.0,F ,,
938518,231020,190,190,980.0,951.1,F ,,
938520,231020,690,673,965.33,970.0,F ,,
938552,231020,71,71,945.0,942.0,F ,,
938564,231020,4,4,969.8,974.6,F ,,
938570,231020,152,152,970.0,960.0,F ,,
938578,231020,70,70,1000.0,1006.0,F ,,
938640,231020,122,122,998.0,998.0,F ,,
938644,231020,50,50,999.0,1002.04,F ,,
938662,231020,15,15,910.0,930.0,F ,,
938686,231020,92,59,1426.0,1426.0,F ,,
938698,231020,436,436,1000.0,1000.0,F ,,
938710,231020,70,70,1003.0,1005.0,F ,,
938726,231020,10,10,999.0,999.11,F ,,
938730,231020,1,1,1040.0,1075.0,F ,,
938734,231020,600,600,1005.55,1002.0,F ,,
938742,231020,49,46,1003.9,1000.9,F ,,
938786,231020,362,362,970.07,970.0,F ,,
938788,231020,150,150,960.0,960.0,F ,,
938790,231020,40,40,974.0,974.99,F ,,
938798,231020,70,70,980.0,985.0,F ,,
938802,231020,250,250,1005.0,1000.0,F ,,
938804,231020,20,20,990.0,990.0,F ,,
938834,231020,11,11,990.0,990.0,F ,,
938882,231020,150,150,990.0,999.81,F ,,
938892,231020,4548,3298,998.22,997.0,F ,,
957807,231020,3,3,1006501.0,1010243.5,F ,,
957808,231020,1,1,1017000.0,1020000.0,F ,,
957810,231020,1,1,1061500.0,1041500.0,F ,,
957835,231020,1,1,1045000.0,970000.0,F ,,
958413,231020,1,1,1002800.0,1001495.0,F ,,
959209,231020,10,10,112875.0,112880.0,F ,,
960191,231020,2,2,1092000.0,1050000.0,F ,,
961728,231020,310,310,1094.0,1093.1,F ,,
961730,231020,600,600,1086.91,1087.0,F ,,
961732,231020,100,100,1085.0,1082.0,F ,,
961744,231020,10,10,1110.0,1107.0,F ,,
961765,231020,485,450,1132.0,1130.0,F ,,
961794,231020,255,255,1079.27,1079.0,F ,,
961816,231020,100,100,1358.0,1358.0,F ,,
961822,231020,1,1,1340.0,1324.0,F ,,
961824,231020,36,36,1070.0,1074.23,F ,,
961826,231020,6,6,1215.0,1209.0,F ,,
961830,231020,455,455,1189.94,1186.7,F ,,
961839,231020,11,11,1215.99,1217.99,F ,,
961861,231020,522,520,1079.95,1080.01,F ,,
961895,231020,918,918,1215.0,1195.05,F ,,
972599,231020,1,1,980000.0,980000.0,F ,,
972715,231020,28,28,13225.0,13200.0,F ,,
972716,231020,4,4,4501.0,4501.0,F ,,
973491,231020,2890,2740,776.07,776.0,F ,,
973993,231020,1,1,1045000.0,1022420.0,F ,,
974072,231020,2,1,1023995.0,1000000.0,F ,,
974519,231020,2,2,106900.0,100000.0,F ,,
974520,231020,1,1,100000.0,100000.0,F ,,
974561,231020,2,2,100811.0,100801.0,F ,,
974749,231020,3,3,109000.0,109500.0,F ,,
975057,231020,1,1,102600.0,102000.0,F ,,
514348,231019,963,963,6.07,6.19,B ,,
519574,231019,118,118,59.03,60.23,XT,,
522261,231019,8,8,497.25,487.5,T ,,
500322,231019,444,444,22.23,20.21,X ,,
526709,231019,2820,2820,0.84,0.83,XT,,
526877,231019,200,200,11.05,10.84,XT,,
530547,231019,112,112,16.82,17.16,XT,,
532985,231019,527,295,70.33,70.5,A ,,
533230,231019,22597,16822,52.53,52.11,E ,,
533244,231019,44196,37081,52.24,52.12,E ,,
533385,231019,11283,7274,120.69,121.57,E ,,
533408,231019,2901,2150,53.37,53.67,E ,,
533570,231019,10604,8220,51.05,50.81,E ,,
533719,231019,59,55,5469.0,5448.33,E ,,
535276,231019,7228,6135,710.0,712.57,A ,,
536073,231019,4017,4017,24.0,24.97,XT,,
536960,231019,10447,9408,42.96,42.98,B ,,
537007,231019,35145,22302,215.55,216.06,B ,,
537008,231019,69,64,214.46,215.52,B ,,
537483,231019,891,694,203.96,205.03,B ,,
537708,231019,60,50,211.0,211.11,B ,,
538057,231019,20657,15669,54.03,54.12,A ,,
538422,231019,17882,17882,0.52,0.5,XT,,
538683,231019,863,808,731.64,735.12,A ,,
539031,231019,1245,239,216.96,217.55,A ,,
539312,231019,230,190,707.0,710.37,A ,,
539313,231019,25,17,243.97,210.95,B ,,
539480,231019,5,3,206.05,214.54,B ,,
539487,231019,12,12,729.51,728.7,A ,,
539516,231019,4223,4179,214.25,215.09,B ,,
539517,231019,293,291,723.05,725.0,A ,,
539681,231019,50,50,33.99,33.33,XT,,
539784,231019,4,1,209.71,210.32,B ,,
539945,231019,4607,4295,114.63,115.38,B ,,
539980,231019,122,98,121.16,121.07,B ,,
540008,231019,254,246,64.18,64.48,A ,,
540612,231019,965,922,164.17,163.98,B ,,
540669,231019,15337,15143,47.33,47.81,B ,,
540787,231019,48067,43828,75.98,76.2,A ,,
541097,231019,9654,8677,1000.0,1000.0,F ,,
541313,231019,7341,6976,28.97,29.18,A ,,
541809,231019,2467,1884,46.65,46.61,B ,,
541946,231019,14172,14116,1000.0,1000.0,F ,,
541972,231019,1133,1078,598.51,599.79,A ,,
542131,231019,1210,1032,207.15,207.58,B ,,
542230,231019,522,511,46.45,46.58,B ,,
542513,231019,4,2,59.5,59.57,A ,,
542730,231019,7107,5086,44.23,44.38,B ,,
542747,231019,5315,4488,58.73,58.8,A ,,
542758,231019,173,117,227.98,228.39,B ,,
542804,231019,12,12,17.5,18.18,B ,,
542808,231019,21,21,6.59,6.59,B ,,
542810,231019,71,46,65.45,72.7,B ,,
542817,231019,48,48,1.24,1.24,B ,,
542839,231019,1012,1012,0.86,0.85,B ,,
542841,231019,1701,1701,1.59,1.45,B ,,
542842,231019,72,72,52.66,52.63,B ,,
542843,231019,100,100,2.1,2.19,B ,,
542844,231019,504,404,1.24,1.21,B ,,
542845,231019,2,2,7.46,7.46,B ,,
542846,231019,5957,5953,1.55,1.5,B ,,
542847,231019,1620,800,0.6,0.61,B ,,
542848,231019,966,857,1.92,2.1,B ,,
542863,231019,2434,1683,44.23,44.35,B ,,
542909,231019,1,1,1297.82,1296.65,F ,,
542921,231019,1574,1007,154.55,154.91,B ,,
542922,231019,33,31,456.11,461.5,B ,,
543071,231019,15873,14063,15.15,16.39,F ,,
543079,231019,1080,1080,1.1,1.11,F ,,
543092,231019,1,1,2.39,2.39,F ,,
543099,231019,1,1,13.13,14.58,F ,,
543106,231019,1,1,2.36,2.15,F ,,
543144,231019,4627,4124,2.07,2.12,B ,,
543150,231019,18121,16821,0.86,0.85,B ,,
543161,231019,12481,10889,38.61,35.1,F ,,
543165,231019,112,108,51.16,51.5,F ,,
543167,231019,1,1,0.88,0.85,F ,,
543173,231019,408,330,8.18,8.42,B ,,
543174,231019,384,243,0.93,0.93,B ,,
543175,231019,8872,8872,1.18,1.12,B ,,
543176,231019,28,28,6.81,6.34,B ,,
543177,231019,120,54,2.73,2.89,B ,,
543181,231019,3059,1807,8.86,8.89,B ,,
543182,231019,10,10,15.69,15.69,B ,,
543186,231019,67,37,2.23,2.26,B ,,
543215,231019,106,106,1156.3,1158.0,F ,,
543216,231019,1700,1700,1156.95,1157.0,F ,,
543219,231019,193,175,203.95,204.67,B ,,
543221,231019,18829,17477,33.14,33.19,B ,,
543224,231019,36,23,445.0,444.45,B ,,
543226,231019,1272,1191,44.49,44.7,B ,,
543246,231019,13,9,32.21,32.47,B ,,
543250,231019,15,15,52.7,52.79,F ,,
543255,231019,363,260,650.89,651.63,B ,,
543291,231019,56173,43051,61.45,62.56,B ,,
543292,231019,1150,856,97.28,97.93,B ,,
543323,231019,10702,8230,19.96,20.01,B ,,
543326,231019,198,180,540.1,539.98,B ,,
543347,231019,71,64,329.42,329.86,B ,,
543348,231019,760,760,97.2,97.2,B ,,
543357,231019,6,3,87.52,86.9,B ,,
543365,231019,20078,17543,31.86,32.45,B ,,
543383,231019,669,602,87.32,87.72,B ,,
543388,231019,166,132,241.83,242.79,B ,,
543414,231019,5224,2819,13.63,13.74,B ,,
543418,231019,51,51,1084.22,1082.5,F ,,
543437,231019,94,81,53.67,53.88,B ,,
543438,231019,284,169,195.22,193.3,B ,,
543440,231019,6,1,199.89,200.69,B ,,
543450,231019,202,191,168.79,168.0,B ,,
543452,231019,18799,15599,72.72,73.49,E ,,
543454,231019,2414,2353,99.22,99.84,B ,,
543465,231019,3848,3282,46.26,46.45,B ,,
543471,231019,30976,24988,72.98,73.41,E ,,
543472,231019,243,149,32.44,32.41,B ,,
543473,231019,943,817,9.73,9.74,B ,,
543474,231019,3237,2486,22.32,22.34,B ,,
543480,231019,1122,622,53.3,53.0,F ,,
543481,231019,2761,2717,15.26,15.22,B ,,
543501,231019,218,177,28.82,28.08,B ,,
543563,231019,19,19,28.48,28.49,B ,,
543568,231019,1089,1088,23.38,23.4,B ,,
543569,231019,32,31,198.75,198.79,B ,,
543570,231019,3,2,452.2,452.59,B ,,
543571,231019,411,405,63.64,64.09,B ,,
543572,231019,929,707,70.5,70.96,E ,,
543574,231019,10463,2505,16.71,16.67,B ,,
543575,231019,13,9,23.29,23.16,B ,,
543576,231019,1086,1080,64.14,64.18,B ,,
543592,231019,3031,2756,70.4,70.94,E ,,
