NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
BFSI,231019,84611,70434,EQ,84611,19.94,20.01,,
BSLGOLDETF,231019,22629,11724,EQ,22629,53.43,53.61,,
BSLNIFTY,231019,55685,35331,EQ,55685,22.29,22.34,,
BSLSENETFG,231019,497,403,EQ,497,64.2,64.45,,
CONSUMBEES,231019,10999,8426,EQ,10999,94.18,93.89,,
CPSEETF,231019,922744,773888,EQ,922744,54.04,54.13,,
DIAMINESQ,231019,4233,3111,EQ,4233,519.7,520.1,,
DIVOPPBEES,231019,13873,8511,EQ,13873,58.38,58.52,,
DSPBANKETF,231019,5853,4757,EQ,5853,44.12,44.36,,
DSPGOLDETF,231019,414674,401095,EQ,414674,59.5,59.5,,
DSPITETF,231019,173926,167146,EQ,173926,31.81,31.63,,
DSPN50ETF,231019,831,813,EQ,831,200.95,201.12,,
DSPNEWETF,231019,1620,1333,EQ,1620,242.63,242.5,,
DSPPSBKETF,231019,16552,14868,EQ,16552,50.41,50.62,,
DSPPVBKETF,231019,30731,11322,EQ,30731,22.9,23.27,,
DSPQ50ETF,231019,1093,886,EQ,1093,199.5,192.99,,
DSPSENXETF,231019,648,566,EQ,648,66.54,66.05,,
DSPSILVETF,231019,8839,3350,EQ,8839,70.32,70.88,,
EBBETF0425,231019,17832,14261,EQ,17832,1158.43,1158.15,,
EBBETF0430,231019,5256,4895,EQ,5256,1297.27,1299.59,,
EBBETF0431,231019,13201,13034,EQ,13201,1155.8,1156.57,,
EBBETF0433,231019,1359,908,EQ,1359,1054.56,1057.13,,
EPIGRAL,231019,17650,8301,EQ,17650,959.4,966.35,,
ESG,231019,3187,2780,EQ,3187,32.31,32.45,,
GILT5YBEES,231019,75514,57854,EQ,75514,52.96,53.0,,
GOLDBEES,231019,5754437,3910506,EQ,5754437,50.91,50.78,,
GOLDETF,231019,50299,40422,EQ,50299,59.85,59.55,,
GOLDSHARE,231019,185029,119328,EQ,185029,51.15,50.85,,
GSEC10YEAR,231019,584,456,EQ,584,24.5,25.25,,
HDFCBSE500,231019,4227,3084,EQ,4227,27.57,27.72,,
HDFCGOLD,231019,495060,399746,EQ,495060,52.45,52.19,,
HDFCGROWTH,231019,909,268,EQ,909,100.49,100.8,,
HDFCLIQUID,231019,639,575,EQ,639,1000.0,999.99,,
HDFCLOWVOL,231019,82,75,EQ,82,152.8,151.55,,
HDFCMID150,231019,2378,1537,EQ,2378,151.59,151.32,,
HDFCMOMENT,231019,1353,883,EQ,1353,233.23,230.77,,
HDFCNEXT50,231019,129,107,EQ,129,452.7,452.84,,
HDFCNIF100,231019,1002,800,EQ,1002,198.14,198.16,,
HDFCNIFBAN,231019,1219,1027,EQ,1219,443.95,445.66,,
HDFCNIFIT,231019,5601,4750,EQ,5601,319.76,319.51,,
HDFCNIFTY,231019,18455,14114,EQ,18455,214.52,215.04,,
HDFCPVTBAN,231019,658,498,EQ,658,229.28,230.7,,
HDFCQUAL,231019,1387,820,EQ,1387,45.19,44.87,,
HDFCSENSEX,231019,1750,1418,EQ,1750,721.86,725.46,,
HDFCSILVER,231019,75691,45635,EQ,75691,70.31,70.89,,
HDFCSML250,231019,66252,60365,EQ,66252,125.52,125.24,,
HDFCVALUE,231019,3148,2429,EQ,3148,105.77,105.87,,
HEALTHY,231019,58399,15326,EQ,58399,9.74,9.75,,
HNGSNGBEES,231019,33878,28884,EQ,33878,260.29,264.19,,
IBMFNIFTY,231019,496,333,EQ,496,200.49,199.2,,
ICICI10GS,231019,13,1,EQ,13,216.6,217.45,,
ICICI500,231019,883985,874824,EQ,883985,29.0,29.15,,
