anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500294,NCC         ,A ,Q,19,19.2,17.5,17.95,17.9,18.25,9938,1203245,22208958,,INE868B01028,26-Mar-20,,
500295,VEDL        ,A ,Q,66,69.25,63.6,65.9,65.9,64.3,6282,1381371,91924710,,INE205A01025,26-Mar-20,,
500296,NAHAR SPG.  ,B ,Q,28.5,28.5,25,25,25,25.35,60,1789,47368,,INE290A01027,26-Mar-20,,
500298,NAT.PEROXIDE,X ,Q,1025,1210,1025,1142.4,1150,1027.25,677,6300,7284284,,INE585A01020,26-Mar-20,,
500300,GRASIM IND. ,A ,Q,445,480,425,471.55,470.6,450.6,3222,79947,36527573,,INE047A01021,26-Mar-20,,
500302,PEL         ,A ,Q,717.9,1018.8,686.25,819.15,819.15,682.1,20087,323402,285614765,,INE140A01024,26-Mar-20,,
500304,NIIT LTD.   ,B ,Q,69.25,74.05,68.95,71.6,72,68.45,642,40805,2914682,,INE161A01038,26-Mar-20,,
500306,JAYKAY      ,X ,Q,2.11,2.89,2.11,2.82,2.82,2.41,17,13037,32982,,INE903A01025,26-Mar-20,,
500307,NIRLON      ,B ,Q,229,237.15,211.6,224.9,224.9,229.5,91,9149,2006390,,INE910A01012,26-Mar-20,,
500312,ONGC CORPN  ,A ,Q,61.5,65.55,59.7,64.8,64.8,61.5,10692,2490350,155502381,,INE213A01029,26-Mar-20,,
500314,ORIENT HOTEL,B ,Q,16.8,18.35,15.85,18.05,18.2,15.5,98,8453,145912,,INE750A01020,26-Mar-20,,
500317,OSWAL AGRO. ,B ,Q,4.55,4.55,3.75,4.05,4.05,3.81,138,5249,21023,,INE142A01012,26-Mar-20,,
500319,INDIAN SUCRO,X ,Q,14.45,14.45,14.45,14.45,14.45,13.8,2,500,7225,,INE557C01017,26-Mar-20,,
500325,RELIANCE    ,A ,Q,1090,1117.15,1043.15,1074.75,1074.75,1081.25,37110,921918,992399431,,INE002A01018,26-Mar-20,,
500327,PILITA      ,B ,Q,3.2,3.2,3.1,3.1,3.1,3.04,6,2420,7682,,INE600A01035,26-Mar-20,,
500329,PENTAMED.G  ,X ,Q,0.23,0.25,0.21,0.24,0.24,0.23,32,31805,7362,,INE202A01022,26-Mar-20,,
500330,RAYMOND     ,A ,Q,241.9,243,220.5,223.85,223.85,231.85,3572,43478,10149510,,INE301A01014,26-Mar-20,,
500331,PIDILITE    ,A ,Q,1300,1330,1250,1268.75,1268.75,1268.95,5140,62053,79611548,,INE318A01026,26-Mar-20,,
500333,PIX TRANS   ,X ,Q,85,91.95,80,81.25,83,84.3,104,5810,486081,,INE751B01018,26-Mar-20,,
500335,BIRLA CORPN.,A ,Q,438,465,413.75,424.6,423,434.25,953,6629,2919242,,INE340A01012,26-Mar-20,,
500336,SURYA ROSHNI,B ,Q,71,73.55,65.7,66.8,69.95,66.95,196,6724,470661,,INE335A01012,26-Mar-20,,
500337,PRIME SECUR.,B ,Q,30.2,32.5,26.2,31.8,32.5,30.2,83,3399,105625,,INE032B01021,26-Mar-20,,
500338,PRSMJOHNSN  ,A ,Q,28.35,31.6,28.2,31.6,31.6,28.75,59,8783,272254,,INE010A01011,26-Mar-20,,
500339,RAIN        ,A ,Q,53.9,54.3,51.8,53.3,53.5,49.4,1145,105024,5606292,,INE855B01025,26-Mar-20,,
500343,AMJLAND     ,B ,Q,13.6,14.9,13.6,14.85,14.85,13.45,5,30,433,,INE606A01024,26-Mar-20,,
500346,PUN.COMMUNI.,B ,Q,10,10,10,10,10,10,1,3,30,,INE609A01010,26-Mar-20,,
500350,RSWM  LTD   ,B ,Q,70,76,62.1,68.8,68.8,65.45,42,1653,112176,,INE611A01016,26-Mar-20,,
500354,RAJSH.SUGAR ,B ,Q,10.39,10.39,9.5,10.3,10.3,9.71,3,250,2546,,INE562B01019,26-Mar-20,,
500355,RALLIS INDIA,A ,Q,160,180,157.15,168.15,163,154.55,1594,39343,6650978,,INE613A01020,26-Mar-20,,
500356,RAMANEWS    ,B ,Q,10.4,11.6,10,11.5,11.5,10.24,52,7023,78831,,INE278B01020,26-Mar-20,,
500357,RAMA PAPER  ,X ,Q,8.75,8.75,8.41,8.41,8.41,8.75,3,241,2055,,INE425E01013,26-Mar-20,,
500360,RAPICUT CARB,X ,Q,20.9,20.9,18,20.1,20,19,29,2901,57105,,INE350D01015,26-Mar-20,,
500365,WELSPLSOL   ,X ,Q,4.55,5,4.17,4.29,4.29,4.55,25,19041,86216,,INE731F01037,26-Mar-20,,
500366,ROLTA (I)   ,B ,Q,1.8,1.92,1.8,1.92,1.92,1.83,79,43745,82665,,INE293A01013,26-Mar-20,,
