Sr.No.,Accord Code,Company Name,CD_ISIN No,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Sector,CD_Industry1,SC_Latest Price Date,CD_Listing Status,SC_Latest Price,SC_Latest Market Cap
613,130609,Carnation Industries Ltd.,INE081B01010,530609,,CNI IN,CARN.BO,Automobile & Ancillaries,Castings/Forgings,09-Jun-2017,Listed,46.15,15.95
614,132282,Castex Technologies Ltd.,INE068D01021,532282,CASTEXTECH,CAST IN,AMTI.BO,Automobile & Ancillaries,Auto Ancillary,09-Jun-2017,Listed,7.29,275.65
615,100870,Castrol India Ltd.,INE172A01027,500870,CASTROLIND,CSTRL IN,CAST.BO,Automobile & Ancillaries,Lubricants,09-Jun-2017,Listed,407.10,20133.59
616,131682,Cat Technologies Ltd.,INE170B01037,531682,,CCRC IN,CATT.BO,IT,IT - Software ,08-Jun-2017,Listed,0.58,4.61
617,131158,Catvision Ltd.,INE660B01011,531158,,CATV IN,CPRO.BO,Consumer Durables,Consumer Durables - Electronics,09-Jun-2017,Listed,25.10,13.69
618,131900,CCL International Ltd.,INE778E01031,531900,,CRCL IN,CCLI.BO,Trading,Trading,09-Jun-2017,Listed,21.00,40.30
619,119600,CCL Products (India) Ltd.,INE421D01022,519600,CCL,CCLP IN,CCLP.BO,Agri,Tea/Coffee,09-Jun-2017,Listed,292.35,3889.07
620,100878,Ceat Ltd.,INE482A01020,500878,CEATLTD,CEAT IN,CEAT.BO,Automobile & Ancillaries,Tyres & Allied,09-Jun-2017,Listed,1907.20,7714.64
621,130789,Ceejay Finance Ltd.,INE358C01010,530789,,HTPG IN,CEEF.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,116.25,40.11
622,131119,Ceenik Exports (India) Ltd.,INE418D01010,531119,CEENIKEXPO,CNK IN,CEXP.BO,Textile ,Textile ,12-May-2017,Listed,8.10,2.71
