Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14112022,1014307377,0002138"
"Trade Date <14-NOV-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,285,BOHRAIND,EQ,1034,1034,100.00"
"20,286,BOMDYEING,EQ,616087,218600,35.48"
"20,287,BOROLTD,EQ,278548,97038,34.84"
"20,288,BORORENEW,EQ,149223,81369,54.53"
"20,289,BOSCHLTD,EQ,15577,6245,40.09"
"20,290,BPCL,EQ,1300007,577164,44.40"
"20,291,BPL,EQ,87134,61968,71.12"
"20,292,BRIGADE,EQ,113379,50182,44.26"
"20,293,BRIGHT,SM,138000,132000,95.65"
"20,294,BRITANNIA,EQ,336120,147011,43.74"
"20,295,BRITANNIA,N3,2491,2090,83.90"
"20,296,BRNL,EQ,48197,29076,60.33"
"20,297,BSE,EQ,1389615,340760,24.52"
"20,298,BSL,EQ,32780,16152,49.27"
"20,299,BSLGOLDETF,EQ,27739,23916,86.22"
"20,300,BSLNIFTY,EQ,33155,23463,70.77"
"20,301,BSLSENETFG,EQ,761,557,73.19"
"20,302,BSOFT,EQ,2928151,1192755,40.73"
"20,303,BTML,SM,24000,18000,75.00"
"20,304,BURNPUR,EQ,162155,142898,88.12"
"20,305,BUTTERFLY,EQ,5744,3755,65.37"
"20,306,BYKE,EQ,74779,53431,71.45"
"20,307,CADSYS,SM,4000,4000,100.00"
"20,308,CALSOFT,EQ,29062,17102,58.85"
"20,309,CAMLINFINE,EQ,996784,488276,48.99"
"20,310,CAMPUS,EQ,2135094,777536,36.42"
"20,311,CAMS,EQ,278493,143639,51.58"
"20,312,CANBK,EQ,9122879,2443501,26.78"
"20,313,CANFINHOME,EQ,348789,121800,34.92"
"20,314,CANTABIL,EQ,10961,3873,35.33"
"20,315,CAPACITE,EQ,113866,58017,50.95"
"20,316,CAPLIPOINT,EQ,297168,84322,28.38"
"20,317,CAPTRUST,EQ,19096,11929,62.47"
"20,318,CARBORUNIV,EQ,97011,61313,63.20"
"20,319,CAREERP,EQ,54262,38706,71.33"
"20,320,CARERATING,EQ,141588,68914,48.67"
"20,321,CARTRADE,EQ,54928,21578,39.28"
"20,322,CASTROLIND,EQ,584331,416401,71.26"
"20,323,CCL,EQ,69777,37540,53.80"
"20,324,CDSL,EQ,817210,259368,31.74"
"20,325,CEATLTD,EQ,253967,147802,58.20"
"20,326,CELEBRITY,EQ,157191,87440,55.63"
"20,327,CENTENKA,EQ,49102,28572,58.19"
"20,328,CENTRALBK,EQ,4607741,1795467,38.97"
"20,329,CENTRUM,EQ,672230,194565,28.94"
"20,330,CENTUM,EQ,45567,22700,49.82"
"20,331,CENTURYPLY,EQ,95520,50706,53.08"
"20,332,CENTURYTEX,EQ,89793,45955,51.18"
"20,333,CERA,EQ,7765,4034,51.95"
"20,334,CEREBRAINT,EQ,1270184,481618,37.92"
"20,335,CESC,EQ,804767,449866,55.90"
"20,336,CGCL,EQ,215597,109405,50.75"
"20,337,CGPOWER,EQ,1030552,484319,47.00"
"20,338,CHALET,EQ,83952,22871,27.24"
"20,339,CHAMBLFERT,EQ,1472586,565945,38.43"
"20,340,CHEMBOND,EQ,424818,201638,47.46"
"20,341,CHEMCON,EQ,1559400,580113,37.20"
"20,342,CHEMFAB,EQ,86793,41769,48.12"
"20,343,CHEMPLASTS,EQ,98367,55626,56.55"
"20,344,CHENNPETRO,EQ,379495,161594,42.58"
"20,345,CHEVIOT,EQ,6483,3795,58.54"
