Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,12042022,1013441532,0002101"
"Trade Date <12-APR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,365,CONTI,SM,3333,3333,100.00"
"20,366,CONTROLPR,EQ,23040,13184,57.22"
"20,367,COOLCAPS,SM,243000,132000,54.32"
"20,368,CORALFINAC,EQ,16420,10770,65.59"
"20,369,CORDSCABLE,EQ,40390,30037,74.37"
"20,370,COROMANDEL,EQ,541765,235857,43.53"
"20,371,COSMOFILMS,EQ,65690,24373,37.10"
"20,372,COUNCODOS,EQ,220785,152362,69.01"
"20,373,CPSEETF,EQ,404825,170000,41.99"
"20,374,CRAFTSMAN,EQ,9716,2762,28.43"
"20,375,CREATIVE,EQ,30943,21604,69.82"
"20,376,CREATIVEYE,EQ,3205,3205,100.00"
"20,377,CREDITACC,EQ,123427,68846,55.78"
"20,378,CREST,EQ,12134,7012,57.79"
"20,379,CRISIL,EQ,78136,17923,22.94"
"20,380,CROMPTON,EQ,1982748,1088132,54.88"
"20,381,CROWN,EQ,18493,11289,61.04"
"20,382,CSBBANK,EQ,188844,65937,34.92"
"20,383,CTE,EQ,40060,18597,46.42"
"20,384,CUB,EQ,1543273,873429,56.60"
"20,385,CUBEXTUB,EQ,214733,113303,52.76"
"20,386,CUMMINSIND,EQ,554348,280812,50.66"
"20,387,CUPID,EQ,35982,22592,62.79"
"20,388,CYBERTECH,EQ,72665,32450,44.66"
"20,389,CYIENT,EQ,138438,87827,63.44"
"20,390,DAAWAT,EQ,27647512,6243764,22.58"
"20,391,DABUR,EQ,1373926,761150,55.40"
"20,392,DALBHARAT,EQ,306061,116298,38.00"
"20,393,DALMIASUG,EQ,204629,67819,33.14"
"20,394,DAMODARIND,EQ,37232,23369,62.77"
"20,395,DANGEE,EQ,5875,1874,31.90"
"20,396,DATAMATICS,EQ,122930,39976,32.52"
"20,397,DATAPATTNS,EQ,1242955,248378,19.98"
"20,398,DBCORP,EQ,113603,70080,61.69"
"20,399,DBL,EQ,997822,289938,29.06"
"20,400,DBSTOCKBRO,EQ,5656,1590,28.11"
"20,401,DCAL,EQ,265366,120602,45.45"
"20,402,DCBBANK,EQ,907361,489017,53.89"
"20,403,DCM,EQ,44139,13437,30.44"
"20,404,DCMNVL,EQ,50356,31676,62.90"
"20,405,DCMSHRIRAM,EQ,92432,36615,39.61"
"20,406,DCMSRIND,EQ,139913,75496,53.96"
"20,407,DCW,EQ,831278,654005,78.67"
"20,408,DECCANCE,EQ,12448,6104,49.04"
"20,409,DEEPAKFERT,EQ,1060690,442812,41.75"
"20,410,DEEPAKNTR,EQ,686120,187579,27.34"
"20,411,DEEPINDS,EQ,290550,85768,29.52"
"20,412,DELPHIFX,EQ,2778,1239,44.60"
"20,413,DELTACORP,EQ,8727325,1807492,20.71"
"20,414,DELTAMAGNT,EQ,25251,13096,51.86"
"20,415,DEN,EQ,1868646,615766,32.95"
"20,416,DENORA,EQ,8942,4292,48.00"
"20,417,DESTINY,SM,36000,30000,83.33"
"20,418,DEVIT,EQ,74809,33621,44.94"
"20,419,DEVYANI,EQ,2041002,912129,44.69"
"20,420,DFMFOODS,EQ,46789,20940,44.75"
"20,421,DHAMPURSUG,EQ,477907,166628,34.87"
"20,422,DHANBANK,EQ,556826,309273,55.54"
"20,423,DHANI,EQ,2274394,1338849,58.87"
"20,424,DHANILOANS,N3,10,10,100.00"
"20,425,DHANILOANS,N4,11,11,100.00"
"20,426,DHANILOANS,N5,230,230,100.00"
"20,427,DHANILOANS,N6,110,110,100.00"
"20,428,DHANILOANS,N7,380,380,100.00"
"20,429,DHANILOANS,NC,700,650,92.86"
"20,430,DHANILOANS,NF,8,4,50.00"
"20,431,DHANILOANS,NG,30,30,100.00"
"20,432,DHANILOANS,NR,40,30,75.00"
"20,433,DHANILOANS,NU,2,2,100.00"
"20,434,DHANUKA,EQ,57698,19731,34.20"
"20,435,DHARAMSI,EQ,682619,197566,28.94"
"20,436,DHARSUGAR,EQ,62893,33834,53.80"
"20,437,DHRUV,EQ,19156,10406,54.32"
"20,438,DHUNINV,EQ,2166,1374,63.43"
"20,439,DIAMONDYD,EQ,34814,17024,48.90"
"20,440,DICIND,EQ,1535,1247,81.24"
"20,441,DIGISPICE,EQ,107423,78470,73.05"
"20,442,DIL,EQ,17271,10368,60.03"
"20,443,DISHTV,EQ,5862011,3115521,53.15"
"20,444,DIVISLAB,EQ,378104,203918,53.93"
"20,445,DIXON,EQ,176685,76665,43.39"
"20,446,DKEGL,SM,18000,15000,83.33"
"20,447,DLF,EQ,4854926,1017718,20.96"
"20,448,DLINKINDIA,EQ,819100,278997,34.06"
"20,449,DMART,EQ,228548,111730,48.89"
"20,450,DNAMEDIA,EQ,99183,80838,81.50"
"20,451,DODLA,EQ,27913,18758,67.20"
"20,452,DOLATALGO,EQ,178289,85778,48.11"
"20,453,DOLLAR,EQ,66692,26302,39.44"
"20,454,DONEAR,EQ,10698,8184,76.50"
"20,455,DPABHUSHAN,EQ,5265,3007,57.11"
"20,456,DPSCLTD,EQ,127311,76688,60.24"
"20,457,DPWIRES,EQ,79134,42503,53.71"
"20,458,DREDGECORP,EQ,219676,57069,25.98"
"20,459,DRREDDY,EQ,371014,197032,53.11"
"20,460,DSPN50ETF,EQ,606,421,69.47"
"20,461,DSPNEWETF,EQ,2228,2133,95.74"
"20,462,DSPQ50ETF,EQ,727,688,94.64"
"20,463,DSSL,EQ,358331,120791,33.71"
"20,464,DTIL,EQ,9780,5835,59.66"
"20,465,DUCON,EQ,1106026,618325,55.91"
"20,466,DUGLOBAL,SM,1000,1000,100.00"
"20,467,DVL,EQ,19513,11320,58.01"
"20,468,DWARKESH,EQ,2869611,692169,24.12"
"20,469,DYNAMATECH,EQ,16724,8143,48.69"
"20,470,DYNAMIC,SM,10000,10000,100.00"
"20,471,DYNPRO,EQ,308266,92127,29.89"
"20,472,E2E,EQ,47708,46700,97.89"
"20,473,EASEMYTRIP,EQ,2049836,662380,32.31"
"20,474,EASTSILK,EQ,67391,44061,65.38"
"20,475,EBANK,EQ,3,2,66.67"
"20,476,EBBETF0423,EQ,791,675,85.34"
"20,477,EBBETF0425,EQ,8664,7617,87.92"
"20,478,EBBETF0430,EQ,18741,16792,89.60"
"20,479,EBBETF0431,EQ,23211,22142,95.39"
"20,480,EC4RG,MF,900,900,100.00"
"20,481,ECLERX,EQ,28677,13228,46.13"
"20,482,ECLFINANCE,NG,529,529,100.00"
"20,483,ECLFINANCE,NI,1100,1000,90.91"
"20,484,ECLFINANCE,NJ,50,30,60.00"
"20,485,ECLFINANCE,NO,48,48,100.00"
"20,486,ECLFINANCE,NP,150,150,100.00"
"20,487,ECLFINANCE,NQ,240,240,100.00"
"20,488,ECLFINANCE,NR,1256,891,70.94"
"20,489,ECLFINANCE,NS,345,329,95.36"
"20,490,EDELWEISS,EQ,1841549,747327,40.58"
"20,491,EHFLNCD,N5,224,203,90.63"
"20,492,EHFLNCD,N6,35,35,100.00"
