SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3,,,,,,,,,,
500259,LYKA LABS   ,B ,Q,133.6,134.8,128.2,131.95,131,131.8,551,8278,1091668,,INE933A01014,15-Jul-22,,,,,,,,,,,,
500260,RAMCOCEM    ,A ,Q,649.45,654.3,634.3,644.05,645.65,649.5,458,4366,2812291,,INE331A01037,15-Jul-22,,,,,,,,,,,,
500264,MAFATLAL IND,X ,Q,212.5,224,212.5,218.75,220.7,216.5,49,3844,845778,,INE270B01027,15-Jul-22,,,,,,,,,,,,
500265,MAH.SEAMLESS,A ,Q,675.3,690,659.3,671.45,672.7,666.35,1681,25388,17156761,,INE271B01025,15-Jul-22,,,,,,,,,,,,
500266,MAH.SCOOTER ,A ,Q,3640.15,3666,3609.65,3637.9,3637.9,3625.05,44,65,236875,,INE288A01013,15-Jul-22,,,,,,,,,,,,
500267,MAJESTIC AUT,X ,Q,128.8,134.7,125,127.1,127.1,128.8,64,2054,265399,,INE201B01022,15-Jul-22,,,,,,,,,,,,
500268,MANALI PETRO,B ,Q,100.65,100.65,97.5,98.9,99.2,99.15,945,48921,4820403,,INE201A01024,15-Jul-22,,,,,,,,,,,,
500270,BARODA RAYON,XT,Q,17.06,17.06,17.06,17.06,17.06,16.25,4,293,4998,,INE461A01024,15-Jul-22,,,,,,,,,,,,
500271,MFSL        ,A ,Q,834.05,840.6,825,838.05,836.65,834.9,752,17960,15024365,,INE180A01020,15-Jul-22,,,,,,,,,,,,
500277,MID INDIA IN,XT,Q,22.7,22.7,20.65,21.8,22.1,21.65,45,3472,73554,,INE401C01018,15-Jul-22,,,,,,,,,,,,
500279,MIRC ELECT  ,B ,Q,12.8,12.8,12.11,12.21,12.12,12.6,367,36436,450730,,INE831A01028,15-Jul-22,,,,,,,,,,,,
500280,CENTURY ENKA,B ,Q,415.75,416.7,405.1,406.2,409.95,412.35,231,4633,1915259,,INE485A01015,15-Jul-22,,,,,,,,,,,,
500284,LORDS CHLORO,XT,Q,172.45,172.45,162.1,163.65,165,168.35,112,3189,525311,,INE846D01012,15-Jul-22,,,,,,,,,,,,
500285,SPICEJET LTD,A ,Q,38.95,38.95,38,38.15,38.15,38.25,1844,147559,5642512,,INE285B01017,15-Jul-22,,,,,,,,,,,,
500288,MOREPEN LAB.,A ,Q,38.1,38.4,36.85,38.15,38.25,37.8,2148,174011,6498755,,INE083A01026,15-Jul-22,,,,,,,,,,,,
500290,MRF LTD.    ,A ,Q,77379.4,79749.95,77379.4,79541.45,79540,77376.45,395,545,42854658,,INE883A01011,15-Jul-22,,,,,,,,,,,,
500292,HEIDEL CEM  ,A ,Q,174.05,178,173.95,177.05,177.05,174.4,358,6077,1068736,,INE578A01017,15-Jul-22,,,,,,,,,,,,
500294,NCC         ,A ,Q,58,58,55.75,56.75,56.75,57.05,790,73705,4174914,,INE868B01028,15-Jul-22,,,,,,,,,,,,
500295,VEDL        ,A ,Q,231.4,231.4,224.95,227.9,227.9,227.85,6665,576040,131190940,,INE205A01025,15-Jul-22,,,,,,,,,,,,
500296,NAHAR SPG.  ,B ,Q,300.25,305.05,294.45,302.75,300.05,299.2,385,4125,1240721,,INE290A01027,15-Jul-22,,,,,,,,,,,,
500298,NAT.PEROXIDE,B ,Q,1348.55,1349.65,1326,1336.8,1347,1336.75,88,909,1216299,,INE585A01020,15-Jul-22,,,,,,,,,,,,
500300,GRASIM IND. ,A ,Q,1399.9,1405.95,1389.15,1398.25,1398.8,1389.95,1151,8400,11746001,,INE047A01021,15-Jul-22,,,,,,,,,,,,
500302,PEL         ,A ,Q,1662,1681.3,1655.3,1659.2,1662,1664.5,1095,8499,14138977,,INE140A01024,15-Jul-22,,,,,,,,,,,,
500304,NIIT LTD.   ,A ,Q,395,396.95,378.25,380.45,382,392.95,2365,50371,19350115,,INE161A01038,15-Jul-22,,,,,,,,,,,,
500306,JAYKAY      ,X ,Q,61,61,59.4,59.55,59.4,60.85,40,3619,217861,,INE903A01025,15-Jul-22,,,,,,,,,,,,
500307,NIRLON      ,B ,Q,376.05,383.05,371.15,372.55,378,376,33,2460,917519,,INE910A01012,15-Jul-22,,,,,,,,,,,,
500312,ONGC CORPN  ,A ,Q,127.3,128.45,124.65,126.45,126.45,127.15,10296,1175267,148351522,,INE213A01029,15-Jul-22,,,,,,,,,,,,
500313,OIL COUNTRY ,T ,Q,8.48,8.48,7.75,7.76,7.76,8.14,7,1053,8662,,INE591A01010,15-Jul-22,,,,,,,,,,,,
500314,ORIENT HOTEL,B ,Q,61.7,62.05,59.8,60.2,60.7,61.4,578,20656,1257921,,INE750A01020,15-Jul-22,,,,,,,,,,,,
500317,OSWAL AGRO. ,B ,Q,42.5,43.2,38.3,40.05,40.05,41.1,401,24380,992906,,INE142A01012,15-Jul-22,,,,,,,,,,,,
500319,INDIAN SUCRO,X ,Q,57.7,60.5,57.7,60.15,60,59.9,74,7354,439119,,INE557C01017,15-Jul-22,,,,,,,,,,,,
500325,RELIANCE    ,A ,Q,2420,2420,2383.6,2401.55,2401.55,2396.95,8334,105343,252531741,,INE002A01018,15-Jul-22,,,,,,,,,,,,
500327,PILITA      ,B ,Q,8.05,8.05,7.75,7.85,7.85,7.82,85,27116,212555,,INE600A01035,15-Jul-22,,,,,,,,,,,,
500330,RAYMOND     ,A ,Q,950,971,947.7,961.5,961.5,946.85,1984,24256,23279387,,INE301A01014,15-Jul-22,,,,,,,,,,,,
