Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,16022023,701175966,0002183"
"Trade Date <16-FEB-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,275,BEDMUTHA,EQ,6255,4762,76.13"
"20,276,BEL,EQ,32927840,13519264,41.06"
"20,277,BEML,EQ,73029,23962,32.81"
"20,278,BEPL,EQ,226758,87112,38.42"
"20,279,BERGEPAINT,EQ,400849,197813,49.35"
"20,280,BESTAGRO,EQ,137116,94858,69.18"
"20,281,BETA,SM,5600,4400,78.57"
"20,282,BFINVEST,EQ,155232,44521,28.68"
"20,283,BFUTILITIE,EQ,102093,37806,37.03"
"20,284,BGRENERGY,EQ,61445,27490,44.74"
"20,285,BHAGCHEM,EQ,4192,3459,82.51"
"20,286,BHAGERIA,EQ,25532,16019,62.74"
"20,287,BHAGYANGR,EQ,53361,38098,71.40"
"20,288,BHANDARI,EQ,206503,150197,72.73"
"20,289,BHARATFORG,EQ,2868392,923950,32.21"
"20,290,BHARATGEAR,EQ,32436,17452,53.80"
"20,291,BHARATRAS,EQ,1230,684,55.61"
"20,292,BHARATWIRE,EQ,78737,53401,67.82"
"20,293,BHARTIARTL,EQ,3399428,2195448,64.58"
"20,294,BHEL,EQ,13731805,3778556,27.52"
"20,295,BIGBLOC,EQ,69806,29299,41.97"
"20,296,BIKAJI,EQ,213439,173693,81.38"
"20,297,BIL,EQ,3545,1060,29.90"
"20,298,BINDALAGRO,EQ,136010,78774,57.92"
"20,299,BIOCON,EQ,4463420,1548267,34.69"
"20,300,BIOFILCHEM,EQ,10789,7450,69.05"
"20,301,BIRET,RR,40424,25989,64.29"
"20,302,BIRLACABLE,EQ,123663,47794,38.65"
"20,303,BIRLACORPN,EQ,270200,232285,85.97"
"20,304,BIRLAMONEY,EQ,50898,35401,69.55"
"20,305,BLBLIMITED,EQ,48294,35127,72.74"
"20,306,BLISSGVS,EQ,230569,116132,50.37"
"20,307,BLKASHYAP,EQ,41836,30316,72.46"
"20,308,BLS,EQ,1584205,314871,19.88"
"20,309,BLUEDART,EQ,49379,39939,80.88"
"20,310,BLUESTARCO,EQ,159323,55205,34.65"
"20,311,BMETRICS,SM,1600,0,0.00"
"20,312,BODALCHEM,EQ,182874,117786,64.41"
"20,313,BOMDYEING,EQ,662988,246631,37.20"
"20,314,BOROLTD,EQ,35519,14273,40.18"
"20,315,BORORENEW,EQ,395279,91306,23.10"
"20,316,BOSCHLTD,EQ,31924,11662,36.53"
"20,317,BPCL,EQ,3753835,1781479,47.46"
"20,318,BPL,EQ,80654,49553,61.44"
"20,319,BRIGADE,EQ,117634,59058,50.20"
"20,320,BRIGHT,SM,138000,105000,76.09"
"20,321,BRITANNIA,EQ,160313,94856,59.17"
"20,322,BRITANNIA,N3,3056,2948,96.47"
"20,323,BRNL,EQ,32902,24370,74.07"
"20,324,BROOKS,EQ,6525,5786,88.67"
"20,325,BSE,EQ,481428,214275,44.51"
"20,326,BSLGOLDETF,EQ,29142,25956,89.07"
"20,327,BSLNIFTY,EQ,1549221,1533710,99.00"
"20,328,BSLSENETFG,EQ,2260,1892,83.72"
"20,329,BSOFT,EQ,2210344,956669,43.28"
"20,330,BTML,EQ,304323,167737,55.12"
"20,331,BURNPUR,EQ,103051,73723,71.54"
"20,332,BUTTERFLY,EQ,758,344,45.38"
"20,333,BVCL,EQ,11141,8769,78.71"
"20,334,BYKE,EQ,41892,27046,64.56"
"20,335,CALSOFT,EQ,86989,60107,69.10"
"20,336,CAMLINFINE,EQ,321208,180248,56.12"
"20,337,CAMPUS,EQ,1273610,588771,46.23"
"20,338,CAMS,EQ,146134,92656,63.40"
"20,339,CANBK,EQ,4813057,1234653,25.65"
"20,340,CANFINHOME,EQ,248733,58666,23.59"
"20,341,CANTABIL,EQ,12351,4940,40.00"
"20,342,CAPACITE,EQ,251209,118393,47.13"
"20,343,CAPLIPOINT,EQ,40142,18704,46.59"
"20,344,CAPTRUST,EQ,2484,951,38.29"
"20,345,CARBORUNIV,EQ,84577,60096,71.05"
"20,346,CAREERP,EQ,39050,21453,54.94"
"20,347,CARERATING,EQ,515725,219822,42.62"
"20,348,CARTRADE,EQ,116628,71015,60.89"
"20,349,CARYSIL,EQ,585620,150241,25.66"
"20,350,CASTROLIND,EQ,654861,449925,68.71"
"20,351,CCHHL,EQ,51517,32994,64.04"
"20,352,CCL,EQ,127927,77783,60.80"
"20,353,CDSL,EQ,401387,158505,39.49"
"20,354,CEATLTD,EQ,64520,17990,27.88"
"20,355,CELEBRITY,EQ,39066,23399,59.90"
"20,356,CENTENKA,EQ,36062,26036,72.20"
"20,357,CENTEXT,EQ,34948,21275,60.88"
"20,358,CENTRALBK,EQ,4022564,1274291,31.68"
"20,359,CENTRUM,EQ,97869,51639,52.76"
"20,360,CENTUM,EQ,4322,2589,59.90"
"20,361,CENTURYPLY,EQ,47368,27287,57.61"
"20,362,CENTURYTEX,EQ,51145,22136,43.28"
"20,363,CERA,EQ,27783,17531,63.10"
"20,364,CEREBRAINT,EQ,278250,234995,84.45"
"20,365,CESC,EQ,2464152,1373909,55.76"
"20,366,CGCL,EQ,29587,16942,57.26"
"20,367,CGPOWER,EQ,4072105,3082852,75.71"
"20,368,CHALET,EQ,39597,17005,42.95"
"20,369,CHAMBLFERT,EQ,2309207,1116298,48.34"
"20,370,CHEMBOND,EQ,17700,11361,64.19"
"20,371,CHEMCON,EQ,70818,28999,40.95"
"20,372,CHEMFAB,EQ,12748,8654,67.89"
"20,373,CHEMPLASTS,EQ,108139,49387,45.67"
"20,374,CHENNPETRO,EQ,1128445,293917,26.05"
"20,375,CHEVIOT,EQ,1501,976,65.02"
"20,376,CHOICEIN,EQ,40002,16243,40.61"
"20,377,CHOLAFIN,EQ,565034,282779,50.05"
"20,378,CHOLAHLDNG,EQ,22829,12616,55.26"
"20,379,CIGNITITEC,EQ,144689,60811,42.03"
"20,380,CINELINE,EQ,34058,17534,51.48"
"20,381,CINEVISTA,EQ,19679,13050,66.31"
"20,382,CIPLA,EQ,667265,405937,60.84"
"20,383,CLEAN,EQ,38071,18094,47.53"
"20,384,CLEDUCATE,EQ,39766,27460,69.05"
"20,385,CLNINDIA,EQ,19349,10826,55.95"
"20,386,CLOUD,SM,10500,7000,66.67"
"20,387,CLSEL,EQ,352238,124634,35.38"
"20,388,CMMIPL,ST,3000,3000,100.00"
"20,389,CMNL,SM,165000,135000,81.82"
"20,390,CMRSL,SM,800,800,100.00"
"20,391,CMSINFO,EQ,191077,89135,46.65"
"20,392,COALINDIA,EQ,13093683,5147612,39.31"
"20,393,COASTCORP,EQ,17948,9826,54.75"
"20,394,COCHINSHIP,EQ,1150182,212112,18.44"
"20,395,COFFEEDAY,EQ,480048,266885,55.60"
"20,396,COFORGE,EQ,840561,462580,55.03"
"20,397,COLPAL,EQ,90494,55385,61.20"
"20,398,COMPINFO,EQ,147384,88982,60.37"
"20,399,COMPUSOFT,EQ,27103,16834,62.11"
"20,400,CONCOR,EQ,1066829,677042,63.46"
"20,401,CONFIPET,EQ,403258,234655,58.19"
"20,402,CONSOFINVT,EQ,5032,4154,82.55"
"20,403,CONSUMBEES,EQ,21735,19408,89.29"
"20,404,CONTI,SM,3333,3333,100.00"
"20,405,CONTROLPR,EQ,14468,8955,61.90"
"20,406,COOLCAPS,SM,3000,1500,50.00"
"20,407,CORALFINAC,EQ,22622,15245,67.39"
"20,408,CORDSCABLE,EQ,44608,25243,56.59"
"20,409,COROMANDEL,EQ,373857,274112,73.32"
"20,410,COSMOFIRST,EQ,38751,21518,55.53"
"20,411,CPSEETF,EQ,1128581,920207,81.54"
"20,412,CRAFTSMAN,EQ,42206,19505,46.21"
"20,413,CREATIVE,EQ,5250,2628,50.06"
"20,414,CREATIVEYE,EQ,9776,7076,72.38"
"20,415,CREDITACC,EQ,375747,296717,78.97"
"20,416,CREDITACC,N1,177,177,100.00"
"20,417,CREDITACC,N3,44,44,100.00"
"20,418,CREDITACC,N5,312,312,100.00"
"20,419,CREST,EQ,3630,2922,80.50"
"20,420,CRISIL,EQ,20520,8314,40.52"
"20,421,CROMPTON,EQ,2582566,1906146,73.81"
"20,422,CSBBANK,EQ,120007,64746,53.95"
"20,423,CSLFINANCE,EQ,985,626,63.55"
"20,424,CTE,EQ,10939,7079,64.71"
"20,425,CUB,EQ,5417507,2382006,43.97"
"20,426,CUBEXTUB,EQ,29615,15149,51.15"
"20,427,CUMMINSIND,EQ,1233069,673559,54.62"
"20,428,CUPID,EQ,33373,16908,50.66"
"20,429,CYBERMEDIA,EQ,44974,20675,45.97"
"20,430,CYBERTECH,EQ,36707,14718,40.10"
"20,431,CYIENT,EQ,388957,242642,62.38"
"20,432,DAAWAT,EQ,384934,163803,42.55"
"20,433,DABUR,EQ,1400865,919215,65.62"
"20,434,DALBHARAT,EQ,108660,50862,46.81"
"20,435,DALMIASUG,EQ,59240,27725,46.80"
"20,436,DAMODARIND,EQ,10098,6571,65.07"
"20,437,DANGEE,EQ,308784,205246,66.47"
"20,438,DATAMATICS,EQ,578300,176263,30.48"
"20,439,DATAPATTNS,EQ,112236,32326,28.80"
"20,440,DBCORP,EQ,220312,85240,38.69"
"20,441,DBL,EQ,126822,71376,56.28"
"20,442,DBOL,EQ,66150,34751,52.53"
"20,443,DBREALTY,EQ,420570,321079,76.34"
"20,444,DBSTOCKBRO,EQ,90228,34896,38.68"
"20,445,DCAL,EQ,2345450,1083137,46.18"
"20,446,DCBBANK,EQ,1729040,733929,42.45"
"20,447,DCM,EQ,14049,8419,59.93"
"20,448,DCMFINSERV,EQ,83166,39957,48.04"
"20,449,DCMNVL,EQ,70734,39470,55.80"
"20,450,DCMSHRIRAM,EQ,24769,10525,42.49"
"20,451,DCMSRIND,EQ,61713,43515,70.51"
"20,452,DCW,EQ,1006097,605001,60.13"
"20,453,DCXINDIA,EQ,865388,474163,54.79"
"20,454,DECCANCE,EQ,8857,4750,53.63"
"20,455,DEEPAKFERT,EQ,400867,144141,35.96"
"20,456,DEEPAKNTR,EQ,452510,155723,34.41"
"20,457,DEEPENR,EQ,6958,3305,47.50"
"20,458,DEEPINDS,EQ,49582,23102,46.59"
"20,459,DELHIVERY,EQ,2104813,1536106,72.98"
"20,460,DELPHIFX,EQ,2647,746,28.18"
"20,461,DELTACORP,EQ,1689694,797213,47.18"
"20,462,DELTAMAGNT,EQ,3349,2895,86.44"
"20,463,DEN,EQ,307774,198887,64.62"
"20,464,DENORA,EQ,6167,3061,49.64"
"20,465,DESTINY,SM,6000,6000,100.00"
"20,466,DEVYANI,EQ,1271562,704399,55.40"
"20,467,DFMFOODS,EQ,6236,3863,61.95"
"20,468,DGCONTENT,EQ,8635,5168,59.85"
"20,469,DHAMPURSUG,EQ,220693,87556,39.67"
"20,470,DHANBANK,EQ,603388,323934,53.69"
"20,471,DHANI,EQ,2117249,741269,35.01"
"20,472,DHANILOANS,N6,241,241,100.00"
"20,473,DHANILOANS,N7,54,54,100.00"
"20,474,DHANILOANS,N8,50,50,100.00"
"20,475,DHANILOANS,NF,11,10,90.91"
"20,476,DHANILOANS,NG,50,50,100.00"
"20,477,DHANILOANS,NU,12,12,100.00"
"20,478,DHANILOANS,NW,109,109,100.00"
"20,479,DHANILOANS,NX,87,87,100.00"
