Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14062023,1238105369,0002236"
"Trade Date <14-JUN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,467,DEEPAKFERT,EQ,1703676,716005,42.03"
"20,468,DEEPAKNTR,EQ,805221,261865,32.52"
"20,469,DEEPENR,EQ,43852,29276,66.76"
"20,470,DEEPINDS,EQ,104146,55278,53.08"
"20,471,DELHIVERY,EQ,1569908,809322,51.55"
"20,472,DELPHIFX,EQ,35804,7497,20.94"
"20,473,DELTACORP,EQ,1793462,543358,30.30"
"20,474,DELTAMAGNT,EQ,1631,827,50.71"
"20,475,DEN,EQ,847753,369291,43.56"
"20,476,DENEERS,SM,34800,26400,75.86"
"20,477,DENORA,EQ,18242,8069,44.23"
"20,478,DENTALKART,ST,42000,38000,90.48"
"20,479,DEVIT,EQ,409628,370150,90.36"
"20,480,DEVYANI,EQ,2175026,736673,33.87"
"20,481,DGCONTENT,EQ,300519,285745,95.08"
"20,482,DHAMPURSUG,EQ,670510,132672,19.79"
"20,483,DHANBANK,EQ,580914,342346,58.93"
"20,484,DHANI,EQ,1519934,859451,56.55"
"20,485,DHANILOANS,N7,33,33,100.00"
"20,486,DHANILOANS,N8,75,75,100.00"
"20,487,DHANILOANS,NF,100,100,100.00"
"20,488,DHANILOANS,NG,33,33,100.00"
"20,489,DHANILOANS,NS,281,281,100.00"
"20,490,DHANILOANS,NU,2,2,100.00"
"20,491,DHANILOANS,NW,35,35,100.00"
"20,492,DHANILOANS,NX,69,69,100.00"
"20,493,DHANILOANS,Y3,39,20,51.28"
"20,494,DHANUKA,EQ,64920,31460,48.46"
"20,495,DHARMAJ,EQ,62704,33449,53.34"
"20,496,DHRUV,EQ,23035,7677,33.33"
"20,497,DHUNINV,EQ,617,411,66.61"
"20,498,DIAMONDYD,EQ,16638,10469,62.92"
