Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,25102022,1008109209,0002083"
"Trade Date <25-OCT-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,304,CARBORUNIV,EQ,59754,27753,46.45"
"20,305,CAREERP,EQ,17564,11624,66.18"
"20,306,CARERATING,EQ,86353,56766,65.74"
"20,307,CARTRADE,EQ,108845,50457,46.36"
"20,308,CASTROLIND,EQ,864221,502182,58.11"
"20,309,CCL,EQ,62064,30405,48.99"
"20,310,CDSL,EQ,421993,122071,28.93"
"20,311,CEATLTD,EQ,50239,25002,49.77"
"20,312,CELEBRITY,EQ,235803,148240,62.87"
"20,313,CENTENKA,EQ,63810,32850,51.48"
"20,314,CENTRALBK,EQ,14577062,5569626,38.21"
"20,315,CENTRUM,EQ,54521,30796,56.48"
"20,316,CENTUM,EQ,24538,10690,43.57"
"20,317,CENTURYPLY,EQ,36223,21865,60.36"
"20,318,CENTURYTEX,EQ,100679,54553,54.19"
"20,319,CERA,EQ,13313,4973,37.35"
"20,320,CEREBRAINT,EQ,141586,88617,62.59"
"20,321,CESC,EQ,1012620,571900,56.48"
"20,322,CGCL,EQ,177896,103732,58.31"
"20,323,CGPOWER,EQ,1944401,1278350,65.75"
"20,324,CHALET,EQ,251589,132777,52.78"
"20,325,CHAMBLFERT,EQ,938349,345941,36.87"
"20,326,CHEMBOND,EQ,40612,26596,65.49"
"20,327,CHEMCON,EQ,64653,26594,41.13"
"20,328,CHEMFAB,EQ,67526,32354,47.91"
"20,329,CHEMPLASTS,EQ,70907,31133,43.91"
"20,330,CHENNPETRO,EQ,1224835,318849,26.03"
"20,331,CHEVIOT,EQ,700,406,58.00"
"20,332,CHOICEIN,EQ,24311,9735,40.04"
"20,333,CHOLAFIN,EQ,928958,477734,51.43"
"20,334,CHOLAHLDNG,EQ,16361,8553,52.28"
"20,335,CIGNITITEC,EQ,477819,238513,49.92"
"20,336,CINELINE,EQ,19731,16774,85.01"
"20,337,CINEVISTA,EQ,14047,7423,52.84"
"20,338,CIPLA,EQ,2210622,1263558,57.16"
"20,339,CLEAN,EQ,60291,30327,50.30"
"20,340,CLEDUCATE,EQ,183633,88332,48.10"
"20,341,CLNINDIA,EQ,9148,5974,65.30"
"20,342,CLOUD,SM,69000,69000,100.00"
"20,343,CLSEL,EQ,305706,130594,42.72"
"20,344,CMICABLES,EQ,17678,13817,78.16"
"20,345,CMMIPL,SM,15000,9000,60.00"
"20,346,CMRSL,SM,800,800,100.00"
"20,347,CMSINFO,EQ,2193454,746938,34.05"
"20,348,COALINDIA,EQ,6976548,4869003,69.79"
"20,349,COASTCORP,EQ,16477,11471,69.62"
"20,350,COASTPP,E1,743,666,89.64"
"20,351,COCHINSHIP,EQ,1668822,434128,26.01"
"20,352,COFFEEDAY,EQ,1680266,679582,40.44"
"20,353,COFORGE,EQ,180109,69847,38.78"
"20,354,COLPAL,EQ,260588,140649,53.97"
"20,355,COMPINFO,EQ,177228,83125,46.90"
"20,356,COMPUSOFT,EQ,50679,30738,60.65"
"20,357,CONCOR,EQ,2563790,1173657,45.78"
"20,358,CONFIPET,EQ,885638,427297,48.25"
"20,359,CONSOFINVT,EQ,779,503,64.57"
"20,360,CONSUMBEES,EQ,17925,10860,60.59"
"20,361,CONTROLPR,EQ,9592,6232,64.97"
"20,362,COOLCAPS,SM,18000,16500,91.67"
"20,363,CORALFINAC,EQ,13474,7997,59.35"
"20,364,CORDSCABLE,EQ,14083,9763,69.32"
"20,365,COROMANDEL,EQ,423662,240434,56.75"
"20,366,COSMOFIRST,EQ,65084,36521,56.11"
"20,367,COUNCODOS,EQ,21263,12923,60.78"
"20,368,CPSEETF,EQ,1796764,1716499,95.53"
"20,369,CRAFTSMAN,EQ,94832,44809,47.25"
"20,370,CREATIVE,EQ,11148,6178,55.42"
"20,371,CREATIVEYE,EQ,1057,1057,100.00"
"20,372,CREDITACC,EQ,327375,283715,86.66"
"20,373,CREST,EQ,44827,19131,42.68"
"20,374,CRISIL,EQ,22264,10360,46.53"
"20,375,CROMPTON,EQ,972561,323323,33.24"
"20,376,CROWN,EQ,299,206,68.90"
"20,377,CSBBANK,EQ,3134219,2825950,90.16"
"20,378,CSLFINANCE,EQ,14919,10304,69.07"
