Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,17122020,1033177324,0001790"
"Trade Date <17-DEC-2020>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,240,BSOFT,EQ,566464,252168,44.52"
"20,241,BTML,SM,1200,1200,100.00"
"20,242,BURGERKING,EQ,20515521,11084266,54.03"
"20,243,BUTTERFLY,EQ,32768,19626,59.89"
"20,244,CADILAHC,EQ,4533593,744460,16.42"
"20,245,CADSYS,SM,6000,4000,66.67"
"20,246,CALSOFT,EQ,54491,28408,52.13"
"20,247,CAMLINFINE,EQ,261876,169339,64.66"
"20,248,CAMS,EQ,68814,34427,50.03"
"20,249,CANBK,EQ,34184969,10418501,30.48"
"20,250,CANFINHOME,EQ,395084,219744,55.62"
"20,251,CANTABIL,EQ,108814,20880,19.19"
"20,252,CAPACITE,EQ,601815,167218,27.79"
"20,253,CAPLIPOINT,EQ,159021,89771,56.45"
"20,254,CAPTRUST,EQ,9768,7090,72.58"
"20,255,CARBORUNIV,EQ,93273,44258,47.45"
"20,256,CAREERP,EQ,59151,31657,53.52"
"20,257,CARERATING,EQ,69747,30783,44.14"
"20,258,CASTROLIND,EQ,1361346,714381,52.48"
"20,259,CCL,EQ,107503,53315,49.59"
"20,260,CDSL,EQ,1923123,699426,36.37"
"20,261,CEATLTD,EQ,347462,112049,32.25"
"20,262,CEBBCO,EQ,61382,47692,77.70"
"20,263,CELEBRITY,EQ,329251,274686,83.43"
"20,264,CENTENKA,EQ,171609,101412,59.09"
"20,265,CENTRALBK,EQ,3805875,2025233,53.21"
"20,266,CENTRUM,EQ,705672,465475,65.96"
"20,267,CENTUM,EQ,34745,17287,49.75"
"20,268,CENTURYPLY,EQ,459855,155438,33.80"
"20,269,CENTURYTEX,EQ,3942740,903170,22.91"
"20,270,CERA,EQ,28162,26256,93.23"
"20,271,CEREBRAINT,EQ,225959,187446,82.96"
"20,272,CESC,EQ,307161,231939,75.51"
"20,273,CESCVENT,EQ,29996,20093,66.99"
"20,274,CGCL,EQ,211532,163332,77.21"
"20,275,CGPOWER,EQ,3792164,2608147,68.78"
"20,276,CHALET,EQ,247465,134921,54.52"
"20,277,CHAMBLFERT,EQ,1481014,889271,60.04"
"20,278,CHEMBOND,EQ,33504,23470,70.05"
"20,279,CHEMCON,EQ,226051,94221,41.68"
"20,280,CHEMFAB,EQ,14833,9422,63.52"
"20,281,CHENNPETRO,EQ,1781407,608455,34.16"
"20,282,CHOLAFIN,EQ,2029421,422234,20.81"
"20,283,CHOLAHLDNG,EQ,112655,90769,80.57"
"20,284,CIGNITITEC,EQ,28495,20070,70.43"
"20,285,CINELINE,EQ,135646,50897,37.52"
"20,286,CINEVISTA,EQ,18107,10142,56.01"
"20,287,CIPLA,EQ,3984988,1006609,25.26"
"20,288,CLEDUCATE,EQ,19070,10468,54.89"
"20,289,CLNINDIA,EQ,31306,20298,64.84"
"20,290,CMMIPL,SM,15000,15000,100.00"
"20,291,COALINDIA,EQ,12374964,3485973,28.17"
"20,292,COCHINSHIP,EQ,470075,209806,44.63"
"20,293,COFORGE,EQ,141877,44469,31.34"
"20,294,COLPAL,EQ,369396,174917,47.35"
"20,295,COMPINFO,EQ,612596,308009,50.28"
"20,296,CONCOR,EQ,2958532,1373040,46.41"
"20,297,CONFIPET,EQ,1034199,687727,66.50"
"20,298,CONSOFINVT,EQ,11705,6834,58.39"
"20,299,CONTROLPR,EQ,29246,16712,57.14"
"20,300,CORALFINAC,EQ,38353,27158,70.81"
"20,301,CORDSCABLE,EQ,54390,42206,77.60"
"20,302,COROMANDEL,EQ,400839,249558,62.26"
"20,303,COSMOFILMS,EQ,45958,21082,45.87"
"20,304,CPSEETF,EQ,5875694,4699183,79.98"
"20,305,CREATIVE,EQ,91161,70793,77.66"
"20,306,CREATIVEYE,EQ,2783,2079,74.70"
"20,307,CREDITACC,EQ,107833,63691,59.06"
"20,308,CREST,EQ,23764,15196,63.95"
"20,309,CRISIL,EQ,11170,7716,69.08"
"20,310,CROMPTON,EQ,5236806,2541675,48.53"
