Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
Container Corpn.,531344,CONCOR,Miscellaneous,830.6,11601.42,50634.48,,
Oberoi Realty,533273,OBEROIRLTY,Construction,1381.15,12842.11,50308.86,,
Astral,532830,ASTRAL,Plastics Products,1865,2902.2,50083.2,,
Ashok Leyland,500477,ASHOKLEY,Automobiles - LCVs / HCVs,170,8877.3,49899.93,,
MRF,500290,MRF,Tyres,117318.95,15831.24,49794.1,,
Mphasis,526299,MPHASIS,Computers - Software - Large,2623.8,7910.31,49544.58,,
Bank of India,532149,BANKINDIA,Banks - Public Sector,107.85,60432.95,49122.19,,
Tata Technolog.,544028,TATATECH,Computers - Software - Medium / Small,1201.15,2853.12,48713.15,,
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,180.65,23698.9,48696.41,,
F A C T,590024,FACT,Fertilizers,752.7,1411.43,48687.02,,
Tata Comm,500483,TATACOMM,Telecommunications - Service Provider,1704.6,1453.21,48651.7,,
Suzlon Energy,532667,SUZLON,Electric Equipment,35.65,3408.51,48033.67,,
Schaeffler India,505790,SCHAEFFLER,Bearings,3069.4,4366.77,47997.1,,
Linde India,523457,LINDEINDIA,Chemicals,5524.15,3216.45,47146.29,,
Balkrishna Inds,502355,BALKRISIND,Tyres,2435.65,8225.03,47060.92,,
FSN E-Commerce,543384,NYKAA,Trading,164.65,1391.28,47048.06,,
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,22135.15,3108.93,47009.79,,
UCO Bank,532505,UCOBANK,Banks - Public Sector,38.1,25764.51,45541.31,,
Adani Wilmar,543458,AWL,Solvent Extraction,345.95,7961.87,44968.57,,
United Breweries,532478,UBL,Breweries & Distilleries,1683.55,4013.95,44519.62,,
Prestige Estates,533274,PRESTIGE,Construction,1108.4,11032.6,44490.3,,
JSW Infrast,543994,JSWINFRA,Miscellaneous,210.85,7300.73,44268.69,,
APL Apollo Tubes,533758,APLAPOLLO,Steel - Large,1580.7,3280.34,43836.18,,
GMR Airports Inf,532754,GMRINFRA,Engineering - Turnkey Services,71.3,-1001.95,43002.21,,
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,572.15,28863,42967.54,,
Jindal Stain.,532508,JSL,Steel - Large,521.45,13244.11,42938,,
S A I L,500113,SAIL,Steel - Large,103.7,56019.81,42837.4,,
Torrent Power,532779,TORNTPOWER,Power Generation And Supply,885.7,11851.98,42549.8,,
Page Industries,532827,PAGEIND,Textiles - Products,37013.4,1529.94,41284.11,,
Central Bank,532885,CENTRALBK,Banks - Public Sector,47.6,29216.73,41281.62,,
Mazagon Dock,543237,MAZDOCK,Miscellaneous,2046.25,4775.27,41242.87,,
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,2184.25,16011,40969.52,,
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,156.95,24765.76,40812.54,,
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small,1467.35,1857.22,40258.67,,
Phoenix Mills,503100,PHOENIXLTD,Construction,2207.75,8830.48,39483.19,,
Sundaram Finance,590071,SUNDARMFIN,Finance & Investments,3526.95,10573.92,39178.52,,
Oil India,533106,OIL,Oil Drilling / Allied Services,360.6,40144.62,39178.24,,
ACC,500410,ACC,Cement - North India,2086.65,14819.03,39165.07,,
One 97,543396,PAYTM,Miscellaneous,615.15,12410.6,39057.39,,
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,239.3,19584.22,38556.77,,
Uno Minda,532539,UNOMINDA,Auto Ancillaries,654.2,4445.08,37514.09,,
Dixon Technolog.,540699,DIXON,Electronics - Consumer,6268.95,1450.47,37483.94,,
L&T Fin.Holdings,533519,L&TFH,Finance & Investments,150.1,22185.42,37350.26,,
Gujarat Fluoroch,542812,FLUOROCHEM,Chemicals,3387.45,5750.94,37328.48,,
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,153.2,22169.49,37265.19,,
Coforge,532541,COFORGE,Computers - Software - Medium / Small,6039.05,3327.3,37255.24,,
Jubilant Food.,533155,JUBLFOOD,Hotels,562.35,2087.28,37142.55,,
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,4187.1,6496.36,36283.06,,
Rail Vikas,542649,RVNL,Construction,172.1,7908.17,35892.95,,
Thermax,500411,THERMAX,Engineering,2983,3988.68,35560.85,,
New India Assura,540769,NIACL,Finance & Investments,213.85,27180.27,35187.85,,
Coromandel Inter,506395,COROMANDEL,Fertilizers,1187.75,9060.8,34976.21,,
Metro Brands,543426,METROBRAND,Leather / Leather Products,1267.85,1673.58,34784.14,,
3M India,523395,3MINDIA,Diversified - Large,30717.45,2085.88,34730.09,,
PB Fintech.,543390,POLICYBZR,Computers - Software - Medium / Small,756.6,5645.78,34131.34,,
Poonawalla Fin,524000,POONAWALLA,Finance & Investments,439.85,7831.81,33837.5,,
AIA Engineering,532683,AIAENG,Castings & Forgings,3537.15,6130.81,33382.35,,
M & M Fin. Serv.,532720,M&MFIN,Finance & Investments,268.8,18605.76,33218.53,,
Kalyan Jewellers,543278,KALYANKJIL,Diamond Cutting / Jewellery,322.25,3852.92,33203.98,,
SJVN,533206,SJVN,Power Generation And Supply,83.95,14326.27,32987.02,,
Escorts Kubota,500495,ESCORTS,Automobiles - Tractors,2980.9,8652.66,32927.8,,
Max Financial,500271,MFSL,Finance & Investments,933.15,3752.12,32211.07,,
Sona BLW Precis.,543300,SONACOMS,Auto Ancillaries,538,2432.41,31550.57,,
Bank of Maha,532525,MAHABANK,Banks - Public Sector,44.55,16141.11,31534.33,,
Embassy Off.REIT,542602,EMBASSY,Construction,332.25,23777.27,31513.48,,
Vedant Fashions,543463,MANYAVAR,Trading,1296.15,1327.89,31424.41,,
Petronet LNG,532522,PETRONET,Miscellaneous,208.85,16088.45,31349.26,,
Honeywell Auto,517174,HONAUT,Electronics - Components,35476.45,3334.9,31330.38,,
BSE,,BSE,Miscellaneous,2311.75,3100.51,31295.63,,
CRISIL,500092,CRISIL,Miscellaneous,4257.7,1925.1,31169.85,,
Voltas,500575,VOLTAS,Air-conditioners,928.05,5714.45,30723.17,,
Star Health Insu,543412,STARHEALTH,Finance & Investments,523,6710.84,30548.99,,
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,2217.5,4341.92,30235.9,,
Gujarat Gas,539336,GUJGASLTD,Miscellaneous,438.4,7085.24,30185.78,,
Lloyds Metals,512455,LLOYDSME,Mining / Minerals / Metals,593.5,2180.98,29996.36,,
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries,15752.3,2589.19,29956.07,,
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Formulations,1812.35,8398.53,29925.41,,
Fortis Health.,532843,FORTIS,Healthcare,391.75,7610.16,29593.99,,
