SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
DRONE,Drone Destination Limited,SM,21-Jul-23,10,INE0P7201019,10,148.3,,DUGLOBAL,N,5457,DUGLOBAL  SM,56.7,58.6,56.38,52.45,49.14,47.73,65.7,37.05,,12,,
DRSDILIP,DRS Dilip Roadlines Limited,ST,10-Dec-18,10,INE02CV01017,10,#N/A,,DYNAMIC,N,6079,DYNAMIC   SM,125,125.83,126.99,126.98,121.72,80.91,164.75,97,,12,,
DUCOL,Ducol Organics And Colours Limited,SM,19-Jan-23,10,INE0LZO01015,10,116.65,,EFACTOR,N,19267,EFACTOR   SM,154.7,157.64,163.41,168.32,166.3,155.73,,,,12,,
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,SM,26-Aug-21,2,INE0HPK01020,2,56.7,,EMKAYTOOL,N,10253,EMKAYTOOLSSM,697,665.27,647.7,635.4,601.87,465.32,708,360,,12,,
DYNAMIC,Dynamic Services & Security Limited,SM,13-Oct-21,10,INE0DZ701010,10,125,,ESFL,N,17084,ESFL      SM,214.1,219.2,220.04,213.38,192.14,158.71,247.85,124.05,,12,,
EFACTOR,E Factor Experiences Limited,SM,9-Oct-23,10,INE0KFF01017,10,154.7,,EUROBOND,N,7331,EUROBOND  SM,183.95,185.62,185.76,183.82,173.95,145.73,200,130.1,,12,,
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,13-Aug-15,10,INE332S01011,10,#N/A,,FELIX,N,573,FELIX     SM,206.2,184.74,164.76,143.89,124.77,103.42,206.2,95.05,,12,,
ESFL,Essen Speciality Films Limited,SM,6-Jul-23,10,INE0ITO01014,10,214.1,,FIDEL,N,9858,FIDEL     SM,106.1,106.94,108.41,110.74,112.39,96.34,137.7,93.05,,12,,
EUROBOND,Euro Panel Products Limited,SM,24-Dec-21,10,INE505V01016,10,183.95,,FOCE,N,7385,FOCE      SM,840,848.62,852.03,848.53,828.46,714.38,925,704.1,,12,,
FELIX,Felix Industries Limited,SM,5-Dec-17,10,INE901X01013,10,206.2,,FROG,N,11501,FROG      SM,184.35,183.37,181.84,184.82,200.56,222.24,278,168.1,,12,,
FIDEL,Fidel Softech Limited,SM,10-Jun-22,10,INE0LQQ01019,10,106.1,,GICL,N,18815,GICL      SM,52,52.31,51.39,49,46.86,41.57,70.9,34.6,,12,,
FOCE,Foce India Limited,SM,28-Dec-21,10,INE0I7D01019,10,840,,GLOBALPET,N,17167,GLOBALPET SM,98.5,98.37,97.96,96.95,91.99,80.02,106.7,70,,12,,
FROG,Frog Cellsat Limited,SM,13-Oct-22,10,INE385O01018,10,184.35,,GOYALSALT,N,19356,GOYALSALT SM,153,151.75,153.16,156.13,161.23,166.78,,,,12,,
GICL,Globe International Carriers Limited,SM,19-Oct-16,10,INE947T01014,10,52,,GRAPHISAD,N,20464,GRAPHISAD ST,80.8,86.95,92.11,97.26,101.9,104.85,,,,12,,
GIRIRAJ,Giriraj Civil Developers Limited,ST,2-Apr-18,10,INE614Z01017,10,#N/A,,GRCL,N,14052,GRCL      SM,187.1,182.5,176.99,162.81,125.85,71.3,192,33,,12,,
GLOBALPET,Global Pet Industries Limited,SM,10-Jul-23,10,INE0PS501019,10,98.5,,GREENCHEF,N,17092,GREENCHEF SM,99.95,101.1,102.18,103.64,106.98,109.58,153,95.2,,12,,
GOLDKART,Goldkart Jewels Limited,ST,15-Oct-19,10,INE06MH01016,10,#N/A,,GSTL,N,9764,GSTL      SM,90.3,91.08,86.5,80.64,81.96,94.16,134.5,59.6,,12,,
GOLDSTAR,Goldstar Power Limited,ST,10-Oct-17,1,INE405Y01021,1,#N/A,,HIGREEN,N,18794,HIGREEN   SM,180.8,183.02,181.74,176.18,163.46,147.01,,,,12,,
GOYALSALT,Goyal Salt Limited,SM,11-Oct-23,10,INE0QFE01017,10,153,,HOLMARC,N,18649,HOLMARC   SM,106.55,108.28,110.8,113.73,114.75,105.87,,,,12,,
GRAPHISAD,Graphisads Limited,ST,13-Dec-23,10,INE0POU01017,10,80.8,,HOMESFY,N,13526,HOMESFY   SM,382.1,390.76,392.81,396.14,407.75,428.11,551,344.8,,12,,
GRCL,Gayatri Rubbers And Chemicals Limited,SM,7-Feb-23,10,INE0LVM01018,10,187.1,,INFINIUM,N,15036,INFINIUM  SM,241.35,239.13,240.11,242.41,245.58,205.22,315.7,222.15,,12,,
GREENCHEF,Greenchef Appliances Limited,SM,6-Jul-23,10,INE0O7P01015,10,99.95,,INFOLLION,N,16588,INFOLLION SM,237,235.33,239.45,242.8,231.8,206.56,291,170.05,,12,,
GRETEX,Gretex Industries Limited,ST,14-Oct-16,10,INE985P01012,10,#N/A,,INNOVANA,N,666,INNOVANA  SM,521,540.76,553.9,565.43,570.5,460.24,799.95,478,,12,,
GSTL,Globesecure Technologies Limited,ST,2-Jun-22,10,INE00WS01056,10,90.3,,INNOVATIV,N,21861,INNOVATIVESM,5.55,5.4,5.35,5.31,5.34,6.28,8.7,4.5,,12,,
HIGREEN,Hi-Green Carbon Limited,SM,28-Sep-23,10,INE0PIC01017,10,180.8,,INSPIRE,N,19154,INSPIRE   SM,63,62.5,62.98,63.86,65.31,67.27,,,,12,,
HOLMARC,Holmarc Opto-Mechatronics Limited,SM,25-Sep-23,10,INE0LXA01019,10,106.55,,IPSL,N,11903,IPSL      SM,160,165.21,166.62,164.85,149.84,111.84,185,72.1,,12,,
HOMESFY,Homesfy Realty Limited,SM,2-Jan-23,10,INE0N7F01017,10,382.1,,JAINAM,N,6012,JAINAM    SM,129.1,129.41,129.06,128.47,128.78,133.6,153.1,119.5,,12,,
INFINIUM,Infinium Pharmachem Limited,SM,17-Apr-23,10,INE0MRE01011,10,241.35,,JAKHARIA,N,3950,JAKHARIA  ST,33.8,99.53,132.59,154.59,170.06,178.55,,,,12,,
INFOLLION,Infollion Research Services Limited,SM,8-Jun-23,10,INE0NNZ01013,10,237,,JALAN,N,20929,JALAN     SM,5.7,5.89,5.71,5.38,5.23,6.84,6.65,4.15,,12,,
