Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,505681,377,312,391.45,400.05,1.22,X 
230222,505688,12332,9331,117.85,120.45,11.0,B 
230222,505690,77,62,204.5,200.0,0.13,X 
230222,505693,52068,37301,9.02,9.07,3.36,X 
230222,505700,85772,34168,409.9,423.0,140.05,A 
230222,505710,26928,14200,92.45,94.45,13.13,B 
230222,505712,4316,4020,79.9,79.2,3.21,X 
230222,505714,17769,9832,158.65,162.9,15.6,B 
230222,505720,2064,1552,198.45,201.0,3.08,B 
230222,505725,4272,2175,522.0,519.9,11.35,X 
230222,505726,6970,2498,850.3,832.95,21.24,A 
230222,505729,57946,46752,67.15,68.75,31.39,X 
230222,505737,1125,831,355.75,364.0,2.96,X 
230222,505744,504,459,301.4,300.25,1.38,B 
230222,505750,296,167,512.85,520.4,0.86,X 
230222,505790,5715,2559,2996.65,2989.3,76.68,A 
230222,505800,1044,957,925.05,952.45,8.85,B 
230222,505827,1701,1528,267.45,274.75,4.09,X 
230222,505840,4876,3935,35.5,32.8,1.4,X 
230222,505850,97024,76181,118.0,118.7,89.89,X 
230222,505854,16645,15978,166.45,168.5,26.6,B 
230222,505872,14632,7791,1830.4,1889.95,142.61,B 
230222,505890,799,406,2074.45,2069.2,8.42,A 
230222,505893,492,326,277.4,289.5,0.9,X 
230222,505978,873,699,1545.6,1563.55,10.8,X 
230222,506003,10,10,6.41,6.11,0.0,XT
230222,506022,50318,29538,57.05,57.0,16.85,B 
230222,506074,259028,187650,5.21,4.97,9.78,B 
230222,506076,2749,1114,1944.8,1940.65,21.67,A 
230222,506079,1645,1645,5.15,5.42,0.08,Z 
230222,506105,846,725,75.7,73.5,0.55,X 
230222,506109,2129,1731,386.85,414.05,6.7,B 
230222,506122,8,8,70.75,67.4,0.01,X 
230222,506128,1561,1561,65.4,67.3,1.02,X 
230222,506146,386215,231905,0.99,1.0,2.3,B 
230222,506166,25,25,48.1,45.85,0.01,XT
