Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,502133,1,1,8.42,8.02,0.0,XT
230420,502137,417,363,461.1,455.55,1.67,B 
230420,502157,5125,2775,280.7,284.75,7.79,B 
230420,502168,23193,12153,189.4,187.45,23.02,B 
230420,502175,16630,13553,55.78,54.77,7.56,X 
230420,502180,20635,10794,69.09,70.27,7.46,B 
230420,502219,144164,42358,480.95,450.05,203.72,A 
230420,502281,15172,15172,20.74,21.19,3.15,XT
230420,502294,62,62,38.0,38.4,0.02,X 
230420,502330,4621,2878,462.95,457.5,13.32,B 
230420,502355,4530,1852,2041.15,2028.55,37.8,A 
230420,502420,49199,14085,42.46,42.66,5.98,B 
230420,502445,2635,2518,21.4,20.45,0.54,X 
230420,502448,61615,13358,1.09,1.08,0.15,B 
230420,502450,5647,3526,258.1,262.6,9.1,B 
230420,502587,558,383,54.97,55.8,0.21,X 
230420,502589,150,150,84.0,84.01,0.13,XT
230420,502820,8463,4647,66.98,65.4,3.11,B 
230420,502865,936,695,610.5,606.75,4.24,X 
230420,502873,6802,5586,92.04,93.42,5.14,X 
230420,502901,2,2,3690.0,3540.0,0.07,X 
230420,502933,440,344,203.8,190.6,0.7,X 
230420,502937,269492,93698,64.74,64.61,60.66,B 
230420,502958,105,65,3604.7,3709.75,2.34,X 
230420,502986,9730,3670,312.3,313.45,11.46,A 
230420,503031,34459,27216,15.19,15.62,4.13,B 
230420,503092,40,40,18.01,18.07,0.01,X 
230420,503100,9277,3958,1380.9,1372.65,54.66,A 
230420,503101,2853,1632,316.45,304.1,5.16,B 
230420,503127,2,2,3600.0,3463.0,0.07,XT
230420,503162,2700,2088,178.55,179.65,3.73,B 
230420,503169,3712,3080,186.15,184.2,5.73,B 
230420,503229,769,762,64.7,67.29,0.49,X 
230420,503310,28100,15053,214.2,212.35,32.24,A 
230420,503349,2,2,2300.0,2300.0,0.05,X 
230420,503624,511,503,6.2,6.24,0.03,X 
230420,503641,2423,1677,23.98,24.65,0.4,X 
230420,503657,10994,9118,9.39,9.61,0.86,X 
230420,503663,96727,67135,3.71,3.75,2.49,X 
230420,503669,175,175,17.85,17.0,0.03,X 
230420,503675,78044,58444,0.71,0.7,0.41,X 
230420,503685,9743,7508,36.28,37.99,2.72,X 
230420,503722,2583,2225,150.15,143.2,3.34,B 
230420,503772,285,285,82.3,80.01,0.23,X 
230420,503776,52,31,33.15,33.65,0.01,X 
230420,503804,532,505,503.8,510.0,2.54,X 
230420,503806,10057,5239,2472.3,2470.9,129.52,A 
230420,503811,4246,1904,477.2,478.0,9.09,A 
230420,503816,5779,3900,41.01,41.92,1.6,X 
230420,503960,1064,779,2689.1,2693.55,20.95,B 
230420,504000,14258,13586,60.21,60.03,8.18,B 
230420,504028,29833,25759,67.5,68.21,17.39,X 
230420,504036,670,554,205.25,202.65,1.14,B 
230420,504058,585,336,321.75,321.35,1.08,B 
230420,504067,22856,6149,267.1,265.85,16.42,A 
230420,504076,6449,6392,17.46,17.69,1.12,X 
230420,504080,235,235,424.4,404.2,1.0,XT
