Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Mahickra Chemicals Ltd.,1500,84.0,84.45,1.26,MAHICKRA,,SM
Maks Energy Solutions India Lt,12000,87.95,92.0,10.554,MAKS,,SM
Manav Infra Projects Ltd.,44000,13.85,15.35,6.094,MANAV,,SM
Mangalam Worldwide Ltd.,10800,114.9,110.7,12.4092,MWL,,SM
Marvel Decor Ltd.,10000,48.0,50.45,4.8,MDL,,SM
MCON Rasayan India Ltd.,15000,152.65,145.4,22.8975,MCON,,SM
Mega Flex Plastics Ltd.,15000,47.5,44.6,7.125,MEGAFLEX,,SM
MOS Utility Ltd.,424000,105.35,87.95,446.684,MOS,,SM
Moxsh Overseas Educon Ltd.,1600,129.0,126.0,2.064,MOXSH,,SM
Network People Services Techno,7200,1889.0,1826.9,136.008,NPST,,SM
Nidan Laboratories And Healthc,71000,33.15,33.4,23.5365,NIDAN,,SM
Nirman Agri Genetics Ltd.,106800,213.8,195.0,228.3384,NIRMAN,,SM
Omfurn India Ltd.,12000,81.55,77.8,9.786,OMFURN,,SM
Parin Furniture Ltd.,4000,68.0,68.0,2.72,PARIN,,SM
Party Cruisers Ltd.,12000,66.7,65.95,8.004,PARTYCRUS,,SM
PE Analytics Ltd.,18000,235.5,222.0,42.39,PROPEQUITY,,SM
Pentagon Rubber Ltd.,12000,119.0,118.55,14.28,PENTAGON,,SM
Perfect Infraengineers Ltd.,72000,21.7,22.9,15.624,PERFECT,,SM
Phantom Digital Effects Ltd.,24000,438.05,429.45,105.132,PHANTOMFX,,SM
Precision Metaliks Ltd.,6000,43.5,44.75,2.61,PRECISION,,SM
Pritika Engineering Components,16000,69.5,72.0,11.12,PRITIKA,,SM
Prolife Industries Ltd.,500,220.0,222.0,1.1,PROLIFE,,SM
Proventus Agrocom Ltd.,1120,939.0,895.0,10.5168,PROV,,SM
Pulz Electronics Ltd.,2000,87.95,87.35,1.759,PULZ,,SM
QMS Medical Allied Services Lt,48000,135.0,137.85,64.8,QMSMEDI,,SM
